days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
2, 2, 2, 3, 0, 0, 2, 2, 0, 700, 100, 0
3, 2, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
4, 3, 3, 1, 1, 1, 4, 0, 0, 1400, 0, 0
5, 4, 2, 4, 3, 2, 4, 0, 1, 1400, 0, 200
6, 4, 1, 3, 2, 1, 4, 0, 4, 1400, 0, 800
7, 3, 3, 2, 1, 2, 4, 0, 1, 1400, 0, 200
8, 1, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
9, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
10, 3, 3, 1, 1, 1, 4, 0, 0, 1400, 0, 0
11, 2, 2, 2, 2, 0, 3, 1, 0, 1050, 50, 0
12, 2, 1, 1, 1, 2, 4, 0, 1, 1400, 0, 200
13, 4, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
14, 1, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
15, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
16, 3, 1, 4, 4, 0, 3, 1, 0, 1050, 50, 0
17, 3, 1, 3, 3, 3, 4, 0, 1, 1400, 0, 200
18, 4, 2, 2, 2, 2, 4, 0, 3, 1400, 0, 600
19, 0, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
20, 3, 2, 1, 4, 0, 3, 1, 0, 1050, 50, 0
21, 2, 1, 2, 3, 4, 4, 0, 0, 1400, 0, 0
22, 2, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
23, 4, 1, 2, 1, 2, 4, 0, 3, 1400, 0, 600
24, 1, 4, 1, 0, 1, 3, 1, 0, 1050, 50, 0
25, 3, 3, 2, 2, 2, 4, 0, 0, 1400, 0, 0
26, 3, 2, 1, 1, 1, 4, 0, 3, 1400, 0, 600
27, 1, 1, 4, 0, 0, 2, 2, 0, 700, 100, 0
28, 3, 1, 3, 1, 2, 4, 0, 0, 1400, 0, 0
29, 3, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
30, 3, 1, 1, 3, 2, 4, 0, 0, 1400, 0, 0
31, 2, 1, 3, 2, 1, 4, 0, 0, 1400, 0, 0
32, 1, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
33, 3, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
34, 2, 1, 1, 1, 3, 4, 0, 0, 1400, 0, 0
35, 4, 2, 2, 4, 2, 4, 0, 1, 1400, 0, 200
36, 2, 1, 1, 3, 1, 4, 0, 2, 1400, 0, 400
37, 4, 2, 1, 2, 1, 4, 0, 1, 1400, 0, 200
38, 3, 1, 1, 1, 4, 4, 0, 1, 1400, 0, 200
39, 3, 4, 1, 4, 3, 4, 0, 0, 1400, 0, 0
40, 3, 3, 3, 3, 2, 4, 0, 2, 1400, 0, 400
41, 1, 2, 2, 2, 1, 4, 0, 1, 1400, 0, 200
42, 3, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
43, 2, 2, 2, 0, 1, 3, 1, 0, 1050, 50, 0
44, 3, 1, 1, 2, 3, 4, 0, 1, 1400, 0, 200
