days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
96, 3, 1, 2, 3, 3, 0, 3, 1050, 0, 600
97, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
98, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
99, 1, 2, 1, 0, 2, 1, 1, 700, 50, 0
100, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
101, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
102, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
103, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
104, 2, 1, 1, 3, 3, 0, 0, 1050, 0, 0
105, 1, 1, 0, 2, 2, 1, 1, 700, 50, 0
106, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
107, 3, 1, 1, 4, 3, 0, 1, 1050, 0, 200
108, 4, 4, 3, 3, 3, 0, 2, 1050, 0, 400
109, 2, 3, 2, 2, 3, 0, 2, 1050, 0, 400
110, 4, 2, 1, 1, 3, 0, 4, 1050, 0, 800
111, 2, 1, 4, 1, 3, 0, 0, 1050, 0, 0
112, 2, 1, 3, 1, 3, 0, 0, 1050, 0, 0
113, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
114, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
115, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
116, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
117, 3, 2, 2, 1, 3, 0, 1, 1050, 0, 200
118, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
119, 3, 1, 1, 2, 3, 0, 0, 1050, 0, 0
120, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
121, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
122, 3, 1, 2, 2, 3, 0, 0, 1050, 0, 0
123, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
124, 3, 4, 3, 1, 3, 0, 0, 1050, 0, 0
125, 4, 3, 2, 3, 3, 0, 3, 1050, 0, 600
126, 3, 2, 1, 2, 3, 0, 3, 1050, 0, 600
127, 3, 1, 4, 1, 3, 0, 2, 1050, 0, 400
128, 4, 4, 3, 2, 3, 0, 2, 1050, 0, 400
129, 3, 3, 2, 1, 3, 0, 3, 1050, 0, 600
130, 0, 2, 1, 0, 2, 1, 1, 700, 50, 0
131, 2, 1, 2, 4, 3, 0, 0, 1050, 0, 0
132, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
133, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
134, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
135, 3, 4, 3, 1, 3, 0, 0, 1050, 0, 0
136, 4, 3, 2, 4, 3, 0, 3, 1050, 0, 600
137, 3, 2, 1, 3, 3, 0, 3, 1050, 0, 600
138, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
139, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
140, 0, 0, 0, 0, 0, 3, 3, 0, 150, 0
141, 3, 1, 1, 4, 3, 0, 0, 1050, 0, 0
142, 3, 2, 3, 3, 3, 0, 1, 1050, 0, 200
143, 2, 1, 2, 2, 3, 0, 2, 1050, 0, 400
144, 1, 2, 1, 1, 3, 0, 0, 1050, 0, 0
145, 3, 1, 4, 3, 3, 0, 1, 1050, 0, 200
146, 2, 3, 3, 2, 3, 0, 1, 1050, 0, 200
147, 2, 2, 2, 1, 3, 0, 2, 1050, 0, 400
148, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
149, 2, 1, 2, 0, 2, 1, 1, 700, 50, 0
150, 4, 1, 1, 4, 3, 0, 2, 1050, 0, 400
151, 4, 2, 1, 3, 3, 0, 2, 1050, 0, 400
152, 0, 1, 0, 2, 2, 1, 1, 700, 50, 0
153, 0, 0, 0, 1, 1, 2, 2, 350, 100, 0
154, 3, 2, 4, 1, 3, 0, 0, 1050, 0, 0
155, 3, 1, 3, 1, 3, 0, 2, 1050, 0, 400
156, 3, 4, 2, 1, 3, 0, 1, 1050, 0, 200
157, 3, 3, 1, 2, 3, 0, 2, 1050, 0, 400
158, 0, 2, 0, 1, 2, 1, 1, 700, 50, 0
159, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
160, 2, 4, 1, 2, 3, 0, 0, 1050, 0, 0
161, 0, 3, 0, 1, 2, 1, 1, 700, 50, 0
162, 3, 2, 2, 1, 3, 0, 1, 1050, 0, 200
