days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 1, 1, 0, 0, 2, 2, 2, 700, 100, 0
2, 4, 2, 1, 3, 3, 4, 0, 0, 1400, 0, 0
3, 3, 1, 1, 2, 2, 4, 0, 2, 1400, 0, 400
4, 2, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
5, 3, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
6, 3, 1, 2, 2, 0, 3, 1, 1, 1050, 50, 0
7, 2, 4, 1, 1, 2, 4, 0, 0, 1400, 0, 0
8, 2, 3, 2, 3, 1, 4, 0, 0, 1400, 0, 0
9, 4, 2, 1, 2, 3, 4, 0, 3, 1400, 0, 600
10, 1, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
11, 3, 3, 1, 3, 1, 4, 0, 0, 1400, 0, 0
12, 1, 2, 1, 2, 0, 3, 1, 1, 1050, 50, 0
13, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
14, 3, 2, 3, 1, 1, 4, 0, 0, 1400, 0, 0
15, 3, 1, 2, 4, 3, 4, 0, 1, 1400, 0, 200
16, 4, 1, 1, 3, 2, 4, 0, 3, 1400, 0, 600
17, 0, 0, 0, 2, 1, 2, 2, 2, 700, 100, 0
18, 0, 0, 0, 1, 0, 1, 3, 3, 350, 150, 0
19, 3, 2, 1, 2, 0, 3, 1, 1, 1050, 50, 0
20, 4, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
21, 3, 3, 2, 2, 0, 3, 1, 1, 1050, 50, 0
22, 1, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
23, 3, 1, 2, 2, 3, 4, 0, 0, 1400, 0, 0
24, 3, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
25, 3, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
26, 2, 1, 1, 2, 0, 3, 1, 1, 1050, 50, 0
27, 0, 0, 0, 1, 0, 1, 3, 3, 350, 150, 0
28, 0, 0, 0, 0, 0, 0, 4, 4, 0, 200, 0
29, 0, 0, 0, 0, 0, 0, 4, 4, 0, 200, 0
30, 2, 3, 2, 0, 0, 2, 2, 2, 700, 100, 0
31, 3, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
32, 3, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
33, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
34, 3, 2, 1, 2, 0, 3, 1, 1, 1050, 50, 0
35, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
36, 3, 1, 3, 1, 0, 3, 1, 1, 1050, 50, 0
37, 3, 1, 2, 2, 4, 4, 0, 0, 1400, 0, 0
38, 2, 1, 1, 1, 3, 4, 0, 1, 1400, 0, 200
39, 3, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
40, 3, 3, 1, 1, 1, 4, 0, 1, 1400, 0, 200
41, 2, 2, 4, 2, 0, 3, 1, 1, 1050, 50, 0
42, 4, 1, 3, 1, 2, 4, 0, 3, 1400, 0, 600
43, 2, 2, 2, 1, 1, 4, 0, 0, 1400, 0, 0
44, 0, 1, 1, 0, 0, 2, 2, 2, 700, 100, 0
