days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
2, 3, 3, 1, 1, 3, 0, 1, 1050, 0, 200
3, 1, 2, 2, 0, 2, 1, 0, 700, 50, 0
4, 2, 1, 1, 3, 3, 0, 1, 1050, 0, 200
5, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
6, 4, 3, 1, 1, 3, 0, 3, 1050, 0, 600
7, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
8, 3, 1, 2, 4, 3, 0, 1, 1050, 0, 200
9, 2, 2, 1, 3, 3, 0, 1, 1050, 0, 200
10, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
11, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
12, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
13, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
14, 4, 1, 4, 2, 3, 0, 2, 1050, 0, 400
15, 4, 2, 3, 1, 3, 0, 3, 1050, 0, 600
16, 1, 1, 2, 2, 3, 0, 0, 1050, 0, 0
17, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
18, 3, 1, 2, 2, 3, 0, 0, 1050, 0, 0
19, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
20, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
21, 4, 3, 1, 1, 3, 0, 2, 1050, 0, 400
22, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
23, 2, 1, 4, 1, 3, 0, 0, 1050, 0, 0
24, 4, 2, 3, 4, 3, 0, 2, 1050, 0, 400
25, 3, 1, 2, 3, 3, 0, 3, 1050, 0, 600
26, 3, 2, 1, 2, 3, 0, 2, 1050, 0, 400
27, 2, 1, 3, 1, 3, 0, 1, 1050, 0, 200
28, 2, 1, 2, 4, 3, 0, 0, 1050, 0, 0
29, 4, 2, 1, 3, 3, 0, 3, 1050, 0, 600
30, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
31, 1, 4, 0, 1, 2, 1, 0, 700, 50, 0
32, 2, 3, 1, 4, 3, 0, 0, 1050, 0, 0
33, 3, 2, 1, 3, 3, 0, 2, 1050, 0, 400
34, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
35, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
36, 4, 1, 3, 2, 3, 0, 2, 1050, 0, 400
37, 2, 2, 2, 1, 3, 0, 1, 1050, 0, 200
38, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
39, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
40, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
41, 1, 2, 0, 0, 1, 2, 0, 350, 100, 0
42, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
43, 3, 4, 1, 2, 3, 0, 0, 1050, 0, 0
44, 2, 3, 1, 1, 3, 0, 1, 1050, 0, 200
45, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
46, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
47, 4, 2, 2, 2, 3, 0, 1, 1050, 0, 200
48, 1, 1, 1, 1, 3, 0, 1, 1050, 0, 200
49, 4, 3, 1, 1, 3, 0, 1, 1050, 0, 200
50, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
51, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
52, 3, 3, 4, 1, 3, 0, 0, 1050, 0, 0
53, 4, 2, 3, 2, 3, 0, 3, 1050, 0, 600
54, 3, 1, 2, 1, 3, 0, 3, 1050, 0, 600
55, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
56, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
57, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
58, 3, 3, 2, 1, 3, 0, 0, 1050, 0, 0
59, 1, 2, 1, 1, 3, 0, 0, 1050, 0, 0
60, 3, 1, 1, 4, 3, 0, 1, 1050, 0, 200
61, 2, 1, 1, 3, 3, 0, 0, 1050, 0, 0
62, 0, 0, 0, 2, 1, 2, 0, 350, 100, 0
63, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
64, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
65, 1, 1, 1, 4, 3, 0, 0, 1050, 0, 0
66, 1, 1, 0, 3, 2, 1, 0, 700, 50, 0
67, 2, 2, 2, 2, 3, 0, 0, 1050, 0, 0
68, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
69, 3, 2, 2, 3, 3, 0, 0, 1050, 0, 0
70, 4, 1, 1, 2, 3, 0, 4, 1050, 0, 800
71, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
72, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
73, 0, 0, 1, 1, 2, 1, 0, 700, 50, 0
74, 3, 1, 4, 3, 3, 0, 0, 1050, 0, 0
75, 3, 4, 3, 2, 3, 0, 2, 1050, 0, 400
76, 3, 3, 2, 1, 3, 0, 3, 1050, 0, 600
77, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
78, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
79, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
80, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
81, 0, 0, 1, 0, 1, 2, 0, 350, 100, 0
82, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
83, 4, 3, 2, 2, 3, 0, 1, 1050, 0, 200
84, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
85, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
86, 3, 1, 1, 2, 3, 0, 0, 1050, 0, 0
87, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
88, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
89, 2, 3, 2, 0, 2, 1, 0, 700, 50, 0
90, 3, 2, 1, 3, 3, 0, 2, 1050, 0, 400
91, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
92, 1, 2, 0, 1, 2, 1, 0, 700, 50, 0
93, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
94, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
95, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
96, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
97, 3, 1, 1, 3, 3, 0, 0, 1050, 0, 0
98, 4, 3, 1, 2, 3, 0, 2, 1050, 0, 400
99, 3, 2, 2, 1, 3, 0, 2, 1050, 0, 400
100, 0, 1, 1, 0, 2, 1, 0, 700, 50, 0
101, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
102, 4, 2, 2, 2, 3, 0, 1, 1050, 0, 200
103, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
104, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
105, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
106, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
107, 2, 2, 1, 0, 2, 1, 0, 700, 50, 0
108, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
109, 4, 3, 1, 1, 3, 0, 1, 1050, 0, 200
110, 1, 2, 3, 0, 2, 1, 0, 700, 50, 0
111, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
112, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
113, 3, 3, 2, 1, 3, 0, 0, 1050, 0, 0
114, 0, 2, 1, 0, 2, 1, 0, 700, 50, 0
115, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
116, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
117, 3, 1, 4, 1, 3, 0, 2, 1050, 0, 400
118, 4, 1, 3, 2, 3, 0, 2, 1050, 0, 400
119, 1, 3, 2, 1, 3, 0, 0, 1050, 0, 0
120, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
121, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
122, 3, 4, 1, 1, 3, 0, 2, 1050, 0, 400
123, 3, 3, 1, 1, 3, 0, 1, 1050, 0, 200
124, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
125, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
126, 3, 3, 2, 1, 3, 0, 0, 1050, 0, 0
127, 2, 2, 1, 2, 3, 0, 1, 1050, 0, 200
128, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
129, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
130, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
131, 2, 2, 4, 0, 2, 1, 0, 700, 50, 0
132, 4, 1, 3, 2, 3, 0, 3, 1050, 0, 600
133, 3, 2, 2, 1, 3, 0, 2, 1050, 0, 400
134, 3, 1, 1, 4, 3, 0, 2, 1050, 0, 400
135, 2, 2, 4, 3, 3, 0, 0, 1050, 0, 0
136, 0, 1, 3, 2, 3, 0, 0, 1050, 0, 0
137, 1, 1, 2, 1, 3, 0, 0, 1050, 0, 0
138, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
139, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
140, 4, 3, 4, 1, 3, 0, 1, 1050, 0, 200
141, 2, 2, 3, 1, 3, 0, 1, 1050, 0, 200
142, 3, 1, 2, 3, 3, 0, 2, 1050, 0, 400
143, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
144, 3, 3, 1, 1, 3, 0, 1, 1050, 0, 200
145, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
146, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
147, 3, 1, 4, 2, 3, 0, 0, 1050, 0, 0
148, 4, 2, 3, 1, 3, 0, 3, 1050, 0, 600
149, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
150, 2, 3, 1, 2, 3, 0, 0, 1050, 0, 0
151, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
152, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
153, 2, 1, 1, 4, 3, 0, 0, 1050, 0, 0
154, 3, 1, 2, 3, 3, 0, 1, 1050, 0, 200
155, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
156, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
157, 2, 2, 1, 3, 3, 0, 0, 1050, 0, 0
158, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
159, 4, 2, 3, 1, 3, 0, 2, 1050, 0, 400
160, 2, 1, 2, 4, 3, 0, 1, 1050, 0, 200
161, 0, 0, 1, 3, 2, 1, 0, 700, 50, 0
162, 0, 0, 0, 2, 1, 2, 0, 350, 100, 0
163, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
164, 2, 2, 4, 0, 2, 1, 0, 700, 50, 0
165, 2, 1, 3, 2, 3, 0, 1, 1050, 0, 200
166, 1, 4, 2, 1, 3, 0, 0, 1050, 0, 0
167, 4, 3, 1, 2, 3, 0, 3, 1050, 0, 600
168, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
169, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
170, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
171, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
172, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
173, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
174, 3, 4, 2, 3, 3, 0, 0, 1050, 0, 0
175, 0, 3, 1, 2, 3, 0, 0, 1050, 0, 0
176, 4, 2, 2, 1, 3, 0, 3, 1050, 0, 600
177, 3, 1, 1, 4, 3, 0, 2, 1050, 0, 400
178, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
179, 3, 4, 1, 2, 3, 0, 1, 1050, 0, 200
180, 2, 3, 2, 1, 3, 0, 1, 1050, 0, 200
181, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
182, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
183, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
184, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
185, 2, 1, 1, 3, 3, 0, 1, 1050, 0, 200
186, 4, 1, 1, 2, 3, 0, 2, 1050, 0, 400
187, 4, 2, 1, 1, 3, 0, 2, 1050, 0, 400
188, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
189, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
190, 4, 3, 1, 1, 3, 0, 1, 1050, 0, 200
191, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
192, 1, 1, 1, 1, 3, 0, 1, 1050, 0, 200
193, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
194, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
195, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
196, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
197, 3, 3, 4, 1, 3, 0, 1, 1050, 0, 200
198, 4, 2, 3, 1, 3, 0, 3, 1050, 0, 600
199, 1, 1, 2, 1, 3, 0, 0, 1050, 0, 0
200, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
201, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
202, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
203, 1, 3, 0, 1, 2, 1, 0, 700, 50, 0
204, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
