days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 1, 1, 0, 3, 350, 0, 600
2, 0, 0, 0, 1, 0, 0, 50, 0
3, 4, 2, 1, 0, 3, 350, 0, 600
4, 2, 1, 1, 0, 2, 350, 0, 400
5, 2, 1, 1, 0, 1, 350, 0, 200
6, 1, 1, 1, 0, 0, 350, 0, 0
7, 2, 2, 1, 0, 1, 350, 0, 200
8, 4, 1, 1, 0, 4, 350, 0, 800
9, 2, 3, 1, 0, 1, 350, 0, 200
10, 3, 2, 1, 0, 3, 350, 0, 600
11, 1, 1, 1, 0, 1, 350, 0, 200
12, 3, 2, 1, 0, 2, 350, 0, 400
13, 3, 1, 1, 0, 3, 350, 0, 600
14, 2, 1, 1, 0, 1, 350, 0, 200
15, 0, 0, 0, 1, 0, 0, 50, 0
16, 4, 2, 1, 0, 3, 350, 0, 600
17, 3, 1, 1, 0, 3, 350, 0, 600
18, 3, 1, 1, 0, 2, 350, 0, 400
19, 2, 2, 1, 0, 1, 350, 0, 200
20, 2, 1, 1, 0, 2, 350, 0, 400
21, 1, 1, 1, 0, 0, 350, 0, 0
22, 2, 4, 1, 0, 1, 350, 0, 200
23, 4, 3, 1, 0, 4, 350, 0, 800
24, 1, 2, 1, 0, 1, 350, 0, 200
25, 2, 1, 1, 0, 2, 350, 0, 400
26, 3, 2, 1, 0, 2, 350, 0, 400
27, 3, 1, 1, 0, 3, 350, 0, 600
28, 3, 2, 1, 0, 2, 350, 0, 400
29, 0, 1, 1, 0, 0, 350, 0, 0
30, 3, 3, 1, 0, 2, 350, 0, 400
31, 2, 2, 1, 0, 2, 350, 0, 400
32, 4, 1, 1, 0, 4, 350, 0, 800
33, 4, 4, 1, 0, 3, 350, 0, 600
34, 3, 3, 1, 0, 3, 350, 0, 600
35, 2, 2, 1, 0, 2, 350, 0, 400
36, 4, 1, 1, 0, 4, 350, 0, 800
37, 3, 1, 1, 0, 2, 350, 0, 400
38, 3, 1, 1, 0, 2, 350, 0, 400
39, 0, 0, 0, 1, 0, 0, 50, 0
40, 1, 2, 1, 0, 0, 350, 0, 0
41, 3, 1, 1, 0, 3, 350, 0, 600
42, 3, 2, 1, 0, 2, 350, 0, 400
43, 0, 1, 1, 0, 0, 350, 0, 0
