days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 0, 0, 4, 0, 0, 800
2, 2, 0, 0, 2, 0, 0, 400
3, 0, 0, 0, 0, 0, 0, 0
4, 4, 0, 0, 4, 0, 0, 800
5, 2, 0, 0, 2, 0, 0, 400
6, 3, 0, 0, 3, 0, 0, 600
7, 4, 0, 0, 4, 0, 0, 800
8, 4, 0, 0, 4, 0, 0, 800
9, 2, 0, 0, 2, 0, 0, 400
10, 4, 0, 0, 4, 0, 0, 800
11, 2, 0, 0, 2, 0, 0, 400
12, 3, 0, 0, 3, 0, 0, 600
13, 2, 0, 0, 2, 0, 0, 400
14, 3, 0, 0, 3, 0, 0, 600
15, 2, 0, 0, 2, 0, 0, 400
16, 2, 0, 0, 2, 0, 0, 400
17, 3, 0, 0, 3, 0, 0, 600
18, 4, 0, 0, 4, 0, 0, 800
19, 2, 0, 0, 2, 0, 0, 400
20, 1, 0, 0, 1, 0, 0, 200
21, 2, 0, 0, 2, 0, 0, 400
22, 0, 0, 0, 0, 0, 0, 0
23, 4, 0, 0, 4, 0, 0, 800
24, 3, 0, 0, 3, 0, 0, 600
25, 4, 0, 0, 4, 0, 0, 800
26, 4, 0, 0, 4, 0, 0, 800
27, 0, 0, 0, 0, 0, 0, 0
28, 1, 0, 0, 1, 0, 0, 200
29, 4, 0, 0, 4, 0, 0, 800
30, 3, 0, 0, 3, 0, 0, 600
31, 4, 0, 0, 4, 0, 0, 800
32, 1, 0, 0, 1, 0, 0, 200
33, 2, 0, 0, 2, 0, 0, 400
34, 4, 0, 0, 4, 0, 0, 800
35, 0, 0, 0, 0, 0, 0, 0
36, 4, 0, 0, 4, 0, 0, 800
37, 2, 0, 0, 2, 0, 0, 400
38, 4, 0, 0, 4, 0, 0, 800
39, 0, 0, 0, 0, 0, 0, 0
40, 4, 0, 0, 4, 0, 0, 800
41, 2, 0, 0, 2, 0, 0, 400
42, 0, 0, 0, 0, 0, 0, 0
43, 0, 0, 0, 0, 0, 0, 0
44, 4, 0, 0, 4, 0, 0, 800
45, 4, 0, 0, 4, 0, 0, 800
46, 3, 0, 0, 3, 0, 0, 600
47, 4, 0, 0, 4, 0, 0, 800
48, 2, 0, 0, 2, 0, 0, 400
49, 4, 0, 0, 4, 0, 0, 800
50, 1, 0, 0, 1, 0, 0, 200
51, 4, 0, 0, 4, 0, 0, 800
52, 4, 0, 0, 4, 0, 0, 800
53, 1, 0, 0, 1, 0, 0, 200
54, 2, 0, 0, 2, 0, 0, 400
55, 4, 0, 0, 4, 0, 0, 800
56, 4, 0, 0, 4, 0, 0, 800
57, 2, 0, 0, 2, 0, 0, 400
58, 0, 0, 0, 0, 0, 0, 0
59, 4, 0, 0, 4, 0, 0, 800
60, 4, 0, 0, 4, 0, 0, 800
61, 0, 0, 0, 0, 0, 0, 0
62, 4, 0, 0, 4, 0, 0, 800
63, 3, 0, 0, 3, 0, 0, 600
64, 4, 0, 0, 4, 0, 0, 800
65, 1, 0, 0, 1, 0, 0, 200
66, 3, 0, 0, 3, 0, 0, 600
67, 3, 0, 0, 3, 0, 0, 600
68, 4, 0, 0, 4, 0, 0, 800
69, 3, 0, 0, 3, 0, 0, 600
70, 4, 0, 0, 4, 0, 0, 800
71, 0, 0, 0, 0, 0, 0, 0
72, 1, 0, 0, 1, 0, 0, 200
73, 4, 0, 0, 4, 0, 0, 800
74, 3, 0, 0, 3, 0, 0, 600
75, 3, 0, 0, 3, 0, 0, 600
76, 3, 0, 0, 3, 0, 0, 600
77, 4, 0, 0, 4, 0, 0, 800
78, 4, 0, 0, 4, 0, 0, 800
79, 3, 0, 0, 3, 0, 0, 600
80, 4, 0, 0, 4, 0, 0, 800
81, 1, 0, 0, 1, 0, 0, 200
82, 3, 0, 0, 3, 0, 0, 600
83, 3, 0, 0, 3, 0, 0, 600
84, 0, 0, 0, 0, 0, 0, 0
85, 0, 0, 0, 0, 0, 0, 0
86, 3, 0, 0, 3, 0, 0, 600
87, 0, 0, 0, 0, 0, 0, 0
88, 2, 0, 0, 2, 0, 0, 400
89, 4, 0, 0, 4, 0, 0, 800
90, 4, 0, 0, 4, 0, 0, 800
91, 2, 0, 0, 2, 0, 0, 400
92, 4, 0, 0, 4, 0, 0, 800
93, 4, 0, 0, 4, 0, 0, 800
94, 1, 0, 0, 1, 0, 0, 200
95, 4, 0, 0, 4, 0, 0, 800
