days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 0, 0, 0, 0, 0, 0, 0
2, 2, 0, 0, 2, 0, 0, 400
3, 3, 0, 0, 3, 0, 0, 600
4, 1, 0, 0, 1, 0, 0, 200
5, 3, 0, 0, 3, 0, 0, 600
6, 3, 0, 0, 3, 0, 0, 600
7, 3, 0, 0, 3, 0, 0, 600
8, 3, 0, 0, 3, 0, 0, 600
9, 4, 0, 0, 4, 0, 0, 800
10, 1, 0, 0, 1, 0, 0, 200
11, 2, 0, 0, 2, 0, 0, 400
12, 2, 0, 0, 2, 0, 0, 400
13, 3, 0, 0, 3, 0, 0, 600
14, 3, 0, 0, 3, 0, 0, 600
15, 0, 0, 0, 0, 0, 0, 0
16, 4, 0, 0, 4, 0, 0, 800
17, 3, 0, 0, 3, 0, 0, 600
18, 2, 0, 0, 2, 0, 0, 400
19, 4, 0, 0, 4, 0, 0, 800
20, 2, 0, 0, 2, 0, 0, 400
21, 2, 0, 0, 2, 0, 0, 400
22, 2, 0, 0, 2, 0, 0, 400
23, 1, 0, 0, 1, 0, 0, 200
24, 0, 0, 0, 0, 0, 0, 0
25, 2, 0, 0, 2, 0, 0, 400
26, 3, 0, 0, 3, 0, 0, 600
27, 2, 0, 0, 2, 0, 0, 400
28, 4, 0, 0, 4, 0, 0, 800
29, 3, 0, 0, 3, 0, 0, 600
30, 2, 0, 0, 2, 0, 0, 400
31, 2, 0, 0, 2, 0, 0, 400
32, 0, 0, 0, 0, 0, 0, 0
33, 3, 0, 0, 3, 0, 0, 600
34, 2, 0, 0, 2, 0, 0, 400
35, 4, 0, 0, 4, 0, 0, 800
36, 0, 0, 0, 0, 0, 0, 0
37, 3, 0, 0, 3, 0, 0, 600
38, 0, 0, 0, 0, 0, 0, 0
39, 3, 0, 0, 3, 0, 0, 600
40, 0, 0, 0, 0, 0, 0, 0
41, 0, 0, 0, 0, 0, 0, 0
42, 2, 0, 0, 2, 0, 0, 400
43, 3, 0, 0, 3, 0, 0, 600
44, 3, 0, 0, 3, 0, 0, 600
45, 3, 0, 0, 3, 0, 0, 600
46, 3, 0, 0, 3, 0, 0, 600
47, 0, 0, 0, 0, 0, 0, 0
48, 4, 0, 0, 4, 0, 0, 800
49, 4, 0, 0, 4, 0, 0, 800
50, 2, 0, 0, 2, 0, 0, 400
51, 3, 0, 0, 3, 0, 0, 600
52, 0, 0, 0, 0, 0, 0, 0
53, 4, 0, 0, 4, 0, 0, 800
54, 0, 0, 0, 0, 0, 0, 0
55, 4, 0, 0, 4, 0, 0, 800
56, 3, 0, 0, 3, 0, 0, 600
57, 2, 0, 0, 2, 0, 0, 400
58, 3, 0, 0, 3, 0, 0, 600
59, 3, 0, 0, 3, 0, 0, 600
60, 0, 0, 0, 0, 0, 0, 0
61, 3, 0, 0, 3, 0, 0, 600
62, 2, 0, 0, 2, 0, 0, 400
63, 3, 0, 0, 3, 0, 0, 600
64, 1, 0, 0, 1, 0, 0, 200
65, 2, 0, 0, 2, 0, 0, 400
66, 2, 0, 0, 2, 0, 0, 400
67, 3, 0, 0, 3, 0, 0, 600
68, 2, 0, 0, 2, 0, 0, 400
69, 3, 0, 0, 3, 0, 0, 600
70, 0, 0, 0, 0, 0, 0, 0
71, 3, 0, 0, 3, 0, 0, 600
72, 3, 0, 0, 3, 0, 0, 600
73, 3, 0, 0, 3, 0, 0, 600
74, 4, 0, 0, 4, 0, 0, 800
75, 4, 0, 0, 4, 0, 0, 800
76, 3, 0, 0, 3, 0, 0, 600
77, 3, 0, 0, 3, 0, 0, 600
78, 3, 0, 0, 3, 0, 0, 600
79, 2, 0, 0, 2, 0, 0, 400
80, 3, 0, 0, 3, 0, 0, 600
81, 4, 0, 0, 4, 0, 0, 800
82, 2, 0, 0, 2, 0, 0, 400
83, 2, 0, 0, 2, 0, 0, 400
84, 3, 0, 0, 3, 0, 0, 600
85, 4, 0, 0, 4, 0, 0, 800
86, 4, 0, 0, 4, 0, 0, 800
87, 3, 0, 0, 3, 0, 0, 600
88, 4, 0, 0, 4, 0, 0, 800
89, 3, 0, 0, 3, 0, 0, 600
90, 2, 0, 0, 2, 0, 0, 400
91, 3, 0, 0, 3, 0, 0, 600
92, 2, 0, 0, 2, 0, 0, 400
93, 2, 0, 0, 2, 0, 0, 400
94, 2, 0, 0, 2, 0, 0, 400
95, 4, 0, 0, 4, 0, 0, 800
96, 0, 0, 0, 0, 0, 0, 0
97, 0, 0, 0, 0, 0, 0, 0
98, 2, 0, 0, 2, 0, 0, 400
99, 1, 0, 0, 1, 0, 0, 200
100, 1, 0, 0, 1, 0, 0, 200
101, 3, 0, 0, 3, 0, 0, 600
102, 2, 0, 0, 2, 0, 0, 400
103, 3, 0, 0, 3, 0, 0, 600
104, 4, 0, 0, 4, 0, 0, 800
105, 3, 0, 0, 3, 0, 0, 600
106, 4, 0, 0, 4, 0, 0, 800
107, 4, 0, 0, 4, 0, 0, 800
108, 2, 0, 0, 2, 0, 0, 400
109, 3, 0, 0, 3, 0, 0, 600
110, 2, 0, 0, 2, 0, 0, 400
111, 4, 0, 0, 4, 0, 0, 800
112, 4, 0, 0, 4, 0, 0, 800
113, 3, 0, 0, 3, 0, 0, 600
114, 4, 0, 0, 4, 0, 0, 800
115, 3, 0, 0, 3, 0, 0, 600
116, 3, 0, 0, 3, 0, 0, 600
117, 2, 0, 0, 2, 0, 0, 400
118, 3, 0, 0, 3, 0, 0, 600
119, 3, 0, 0, 3, 0, 0, 600
120, 1, 0, 0, 1, 0, 0, 200
121, 2, 0, 0, 2, 0, 0, 400
122, 3, 0, 0, 3, 0, 0, 600
123, 2, 0, 0, 2, 0, 0, 400
124, 4, 0, 0, 4, 0, 0, 800
125, 1, 0, 0, 1, 0, 0, 200
126, 1, 0, 0, 1, 0, 0, 200
127, 3, 0, 0, 3, 0, 0, 600
128, 2, 0, 0, 2, 0, 0, 400
129, 1, 0, 0, 1, 0, 0, 200
130, 4, 0, 0, 4, 0, 0, 800
131, 4, 0, 0, 4, 0, 0, 800
132, 4, 0, 0, 4, 0, 0, 800
133, 1, 0, 0, 1, 0, 0, 200
134, 0, 0, 0, 0, 0, 0, 0
135, 0, 0, 0, 0, 0, 0, 0
136, 2, 0, 0, 2, 0, 0, 400
137, 1, 0, 0, 1, 0, 0, 200
138, 2, 0, 0, 2, 0, 0, 400
139, 4, 0, 0, 4, 0, 0, 800
140, 4, 0, 0, 4, 0, 0, 800
141, 4, 0, 0, 4, 0, 0, 800
142, 3, 0, 0, 3, 0, 0, 600
143, 0, 0, 0, 0, 0, 0, 0
144, 3, 0, 0, 3, 0, 0, 600
145, 4, 0, 0, 4, 0, 0, 800
146, 2, 0, 0, 2, 0, 0, 400
147, 4, 0, 0, 4, 0, 0, 800
148, 4, 0, 0, 4, 0, 0, 800
149, 4, 0, 0, 4, 0, 0, 800
150, 1, 0, 0, 1, 0, 0, 200
151, 0, 0, 0, 0, 0, 0, 0
152, 2, 0, 0, 2, 0, 0, 400
153, 3, 0, 0, 3, 0, 0, 600
154, 4, 0, 0, 4, 0, 0, 800
155, 3, 0, 0, 3, 0, 0, 600
156, 0, 0, 0, 0, 0, 0, 0
157, 2, 0, 0, 2, 0, 0, 400
158, 4, 0, 0, 4, 0, 0, 800
159, 3, 0, 0, 3, 0, 0, 600
160, 3, 0, 0, 3, 0, 0, 600
161, 2, 0, 0, 2, 0, 0, 400
162, 3, 0, 0, 3, 0, 0, 600
163, 4, 0, 0, 4, 0, 0, 800
164, 3, 0, 0, 3, 0, 0, 600
165, 0, 0, 0, 0, 0, 0, 0
166, 0, 0, 0, 0, 0, 0, 0
167, 3, 0, 0, 3, 0, 0, 600
168, 4, 0, 0, 4, 0, 0, 800
169, 0, 0, 0, 0, 0, 0, 0
170, 3, 0, 0, 3, 0, 0, 600
171, 3, 0, 0, 3, 0, 0, 600
172, 1, 0, 0, 1, 0, 0, 200
173, 3, 0, 0, 3, 0, 0, 600
174, 4, 0, 0, 4, 0, 0, 800
175, 4, 0, 0, 4, 0, 0, 800
176, 2, 0, 0, 2, 0, 0, 400
177, 0, 0, 0, 0, 0, 0, 0
178, 4, 0, 0, 4, 0, 0, 800
179, 3, 0, 0, 3, 0, 0, 600
180, 3, 0, 0, 3, 0, 0, 600
181, 2, 0, 0, 2, 0, 0, 400
182, 3, 0, 0, 3, 0, 0, 600
183, 3, 0, 0, 3, 0, 0, 600
184, 2, 0, 0, 2, 0, 0, 400
185, 1, 0, 0, 1, 0, 0, 200
186, 4, 0, 0, 4, 0, 0, 800
187, 2, 0, 0, 2, 0, 0, 400
188, 1, 0, 0, 1, 0, 0, 200
189, 1, 0, 0, 1, 0, 0, 200
190, 3, 0, 0, 3, 0, 0, 600
191, 0, 0, 0, 0, 0, 0, 0
192, 2, 0, 0, 2, 0, 0, 400
193, 4, 0, 0, 4, 0, 0, 800
194, 3, 0, 0, 3, 0, 0, 600
195, 2, 0, 0, 2, 0, 0, 400
196, 3, 0, 0, 3, 0, 0, 600
197, 3, 0, 0, 3, 0, 0, 600
198, 2, 0, 0, 2, 0, 0, 400
199, 4, 0, 0, 4, 0, 0, 800
200, 3, 0, 0, 3, 0, 0, 600
201, 2, 0, 0, 2, 0, 0, 400
202, 0, 0, 0, 0, 0, 0, 0
203, 3, 0, 0, 3, 0, 0, 600
204, 4, 0, 0, 4, 0, 0, 800
205, 3, 0, 0, 3, 0, 0, 600
206, 4, 0, 0, 4, 0, 0, 800
207, 4, 0, 0, 4, 0, 0, 800
208, 2, 0, 0, 2, 0, 0, 400
209, 3, 0, 0, 3, 0, 0, 600
210, 4, 0, 0, 4, 0, 0, 800
211, 1, 0, 0, 1, 0, 0, 200
212, 4, 0, 0, 4, 0, 0, 800
213, 3, 0, 0, 3, 0, 0, 600
214, 2, 0, 0, 2, 0, 0, 400
215, 1, 0, 0, 1, 0, 0, 200
216, 1, 0, 0, 1, 0, 0, 200
217, 4, 0, 0, 4, 0, 0, 800
218, 4, 0, 0, 4, 0, 0, 800
219, 2, 0, 0, 2, 0, 0, 400
220, 3, 0, 0, 3, 0, 0, 600
221, 3, 0, 0, 3, 0, 0, 600
222, 1, 0, 0, 1, 0, 0, 200
223, 3, 0, 0, 3, 0, 0, 600
224, 2, 0, 0, 2, 0, 0, 400
225, 4, 0, 0, 4, 0, 0, 800
226, 3, 0, 0, 3, 0, 0, 600
227, 3, 0, 0, 3, 0, 0, 600
228, 4, 0, 0, 4, 0, 0, 800
229, 2, 0, 0, 2, 0, 0, 400
230, 4, 0, 0, 4, 0, 0, 800
231, 0, 0, 0, 0, 0, 0, 0
232, 3, 0, 0, 3, 0, 0, 600
233, 3, 0, 0, 3, 0, 0, 600
234, 1, 0, 0, 1, 0, 0, 200
235, 0, 0, 0, 0, 0, 0, 0
236, 2, 0, 0, 2, 0, 0, 400
237, 3, 0, 0, 3, 0, 0, 600
238, 1, 0, 0, 1, 0, 0, 200
239, 2, 0, 0, 2, 0, 0, 400
240, 4, 0, 0, 4, 0, 0, 800
241, 2, 0, 0, 2, 0, 0, 400
242, 1, 0, 0, 1, 0, 0, 200
243, 2, 0, 0, 2, 0, 0, 400
244, 3, 0, 0, 3, 0, 0, 600
245, 0, 0, 0, 0, 0, 0, 0
246, 2, 0, 0, 2, 0, 0, 400
247, 0, 0, 0, 0, 0, 0, 0
248, 2, 0, 0, 2, 0, 0, 400
249, 3, 0, 0, 3, 0, 0, 600
250, 4, 0, 0, 4, 0, 0, 800
251, 4, 0, 0, 4, 0, 0, 800
252, 0, 0, 0, 0, 0, 0, 0
253, 2, 0, 0, 2, 0, 0, 400
254, 2, 0, 0, 2, 0, 0, 400
255, 2, 0, 0, 2, 0, 0, 400
256, 1, 0, 0, 1, 0, 0, 200
257, 3, 0, 0, 3, 0, 0, 600
258, 0, 0, 0, 0, 0, 0, 0
259, 2, 0, 0, 2, 0, 0, 400
260, 1, 0, 0, 1, 0, 0, 200
261, 3, 0, 0, 3, 0, 0, 600
262, 3, 0, 0, 3, 0, 0, 600
263, 2, 0, 0, 2, 0, 0, 400
264, 0, 0, 0, 0, 0, 0, 0
265, 2, 0, 0, 2, 0, 0, 400
266, 2, 0, 0, 2, 0, 0, 400
267, 3, 0, 0, 3, 0, 0, 600
268, 4, 0, 0, 4, 0, 0, 800
269, 4, 0, 0, 4, 0, 0, 800
270, 1, 0, 0, 1, 0, 0, 200
271, 4, 0, 0, 4, 0, 0, 800
272, 1, 0, 0, 1, 0, 0, 200
273, 4, 0, 0, 4, 0, 0, 800
274, 4, 0, 0, 4, 0, 0, 800
275, 3, 0, 0, 3, 0, 0, 600
276, 3, 0, 0, 3, 0, 0, 600
277, 2, 0, 0, 2, 0, 0, 400
278, 3, 0, 0, 3, 0, 0, 600
279, 0, 0, 0, 0, 0, 0, 0
280, 4, 0, 0, 4, 0, 0, 800
281, 2, 0, 0, 2, 0, 0, 400
282, 2, 0, 0, 2, 0, 0, 400
283, 3, 0, 0, 3, 0, 0, 600
284, 4, 0, 0, 4, 0, 0, 800
285, 0, 0, 0, 0, 0, 0, 0
286, 4, 0, 0, 4, 0, 0, 800
287, 4, 0, 0, 4, 0, 0, 800
288, 4, 0, 0, 4, 0, 0, 800
289, 3, 0, 0, 3, 0, 0, 600
290, 3, 0, 0, 3, 0, 0, 600
291, 0, 0, 0, 0, 0, 0, 0
292, 4, 0, 0, 4, 0, 0, 800
293, 4, 0, 0, 4, 0, 0, 800
294, 4, 0, 0, 4, 0, 0, 800
295, 4, 0, 0, 4, 0, 0, 800
296, 1, 0, 0, 1, 0, 0, 200
