days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 0, 0, 2, 0, 0, 400
2, 2, 0, 0, 2, 0, 0, 400
3, 3, 0, 0, 3, 0, 0, 600
4, 1, 0, 0, 1, 0, 0, 200
5, 3, 0, 0, 3, 0, 0, 600
6, 3, 0, 0, 3, 0, 0, 600
7, 3, 0, 0, 3, 0, 0, 600
8, 2, 0, 0, 2, 0, 0, 400
9, 2, 0, 0, 2, 0, 0, 400
10, 3, 0, 0, 3, 0, 0, 600
11, 4, 0, 0, 4, 0, 0, 800
12, 3, 0, 0, 3, 0, 0, 600
13, 1, 0, 0, 1, 0, 0, 200
14, 2, 0, 0, 2, 0, 0, 400
15, 2, 0, 0, 2, 0, 0, 400
16, 3, 0, 0, 3, 0, 0, 600
17, 4, 0, 0, 4, 0, 0, 800
18, 3, 0, 0, 3, 0, 0, 600
19, 2, 0, 0, 2, 0, 0, 400
20, 3, 0, 0, 3, 0, 0, 600
21, 2, 0, 0, 2, 0, 0, 400
22, 4, 0, 0, 4, 0, 0, 800
23, 1, 0, 0, 1, 0, 0, 200
24, 3, 0, 0, 3, 0, 0, 600
25, 3, 0, 0, 3, 0, 0, 600
26, 0, 0, 0, 0, 0, 0, 0
27, 0, 0, 0, 0, 0, 0, 0
28, 2, 0, 0, 2, 0, 0, 400
29, 3, 0, 0, 3, 0, 0, 600
30, 2, 0, 0, 2, 0, 0, 400
31, 2, 0, 0, 2, 0, 0, 400
32, 4, 0, 0, 4, 0, 0, 800
33, 4, 0, 0, 4, 0, 0, 800
34, 3, 0, 0, 3, 0, 0, 600
35, 1, 0, 0, 1, 0, 0, 200
36, 4, 0, 0, 4, 0, 0, 800
37, 3, 0, 0, 3, 0, 0, 600
38, 1, 0, 0, 1, 0, 0, 200
39, 3, 0, 0, 3, 0, 0, 600
40, 0, 0, 0, 0, 0, 0, 0
41, 2, 0, 0, 2, 0, 0, 400
42, 4, 0, 0, 4, 0, 0, 800
43, 3, 0, 0, 3, 0, 0, 600
44, 4, 0, 0, 4, 0, 0, 800
45, 3, 0, 0, 3, 0, 0, 600
46, 1, 0, 0, 1, 0, 0, 200
47, 4, 0, 0, 4, 0, 0, 800
48, 3, 0, 0, 3, 0, 0, 600
49, 3, 0, 0, 3, 0, 0, 600
50, 2, 0, 0, 2, 0, 0, 400
51, 2, 0, 0, 2, 0, 0, 400
52, 1, 0, 0, 1, 0, 0, 200
53, 2, 0, 0, 2, 0, 0, 400
54, 3, 0, 0, 3, 0, 0, 600
55, 2, 0, 0, 2, 0, 0, 400
56, 2, 0, 0, 2, 0, 0, 400
57, 2, 0, 0, 2, 0, 0, 400
58, 2, 0, 0, 2, 0, 0, 400
59, 2, 0, 0, 2, 0, 0, 400
60, 3, 0, 0, 3, 0, 0, 600
61, 4, 0, 0, 4, 0, 0, 800
62, 2, 0, 0, 2, 0, 0, 400
63, 3, 0, 0, 3, 0, 0, 600
64, 4, 0, 0, 4, 0, 0, 800
65, 3, 0, 0, 3, 0, 0, 600
66, 3, 0, 0, 3, 0, 0, 600
67, 2, 0, 0, 2, 0, 0, 400
68, 4, 0, 0, 4, 0, 0, 800
69, 2, 0, 0, 2, 0, 0, 400
70, 2, 0, 0, 2, 0, 0, 400
71, 1, 0, 0, 1, 0, 0, 200
72, 3, 0, 0, 3, 0, 0, 600
73, 3, 0, 0, 3, 0, 0, 600
74, 3, 0, 0, 3, 0, 0, 600
75, 2, 0, 0, 2, 0, 0, 400
76, 3, 0, 0, 3, 0, 0, 600
77, 4, 0, 0, 4, 0, 0, 800
78, 4, 0, 0, 4, 0, 0, 800
79, 0, 0, 0, 0, 0, 0, 0
80, 1, 0, 0, 1, 0, 0, 200
81, 4, 0, 0, 4, 0, 0, 800
82, 4, 0, 0, 4, 0, 0, 800
83, 1, 0, 0, 1, 0, 0, 200
84, 1, 0, 0, 1, 0, 0, 200
85, 0, 0, 0, 0, 0, 0, 0
86, 4, 0, 0, 4, 0, 0, 800
87, 2, 0, 0, 2, 0, 0, 400
88, 3, 0, 0, 3, 0, 0, 600
89, 2, 0, 0, 2, 0, 0, 400
90, 2, 0, 0, 2, 0, 0, 400
91, 4, 0, 0, 4, 0, 0, 800
92, 2, 0, 0, 2, 0, 0, 400
93, 3, 0, 0, 3, 0, 0, 600
94, 2, 0, 0, 2, 0, 0, 400
95, 2, 0, 0, 2, 0, 0, 400
96, 1, 0, 0, 1, 0, 0, 200
97, 1, 0, 0, 1, 0, 0, 200
98, 3, 0, 0, 3, 0, 0, 600
99, 2, 0, 0, 2, 0, 0, 400
100, 1, 0, 0, 1, 0, 0, 200
101, 4, 0, 0, 4, 0, 0, 800
102, 3, 0, 0, 3, 0, 0, 600
103, 0, 0, 0, 0, 0, 0, 0
104, 2, 0, 0, 2, 0, 0, 400
105, 1, 0, 0, 1, 0, 0, 200
106, 4, 0, 0, 4, 0, 0, 800
107, 3, 0, 0, 3, 0, 0, 600
108, 3, 0, 0, 3, 0, 0, 600
109, 2, 0, 0, 2, 0, 0, 400
110, 1, 0, 0, 1, 0, 0, 200
111, 3, 0, 0, 3, 0, 0, 600
112, 3, 0, 0, 3, 0, 0, 600
113, 4, 0, 0, 4, 0, 0, 800
114, 2, 0, 0, 2, 0, 0, 400
115, 3, 0, 0, 3, 0, 0, 600
116, 4, 0, 0, 4, 0, 0, 800
117, 4, 0, 0, 4, 0, 0, 800
118, 4, 0, 0, 4, 0, 0, 800
119, 0, 0, 0, 0, 0, 0, 0
120, 2, 0, 0, 2, 0, 0, 400
121, 3, 0, 0, 3, 0, 0, 600
122, 3, 0, 0, 3, 0, 0, 600
123, 2, 0, 0, 2, 0, 0, 400
124, 3, 0, 0, 3, 0, 0, 600
125, 1, 0, 0, 1, 0, 0, 200
126, 0, 0, 0, 0, 0, 0, 0
127, 0, 0, 0, 0, 0, 0, 0
128, 2, 0, 0, 2, 0, 0, 400
129, 4, 0, 0, 4, 0, 0, 800
130, 2, 0, 0, 2, 0, 0, 400
131, 4, 0, 0, 4, 0, 0, 800
132, 2, 0, 0, 2, 0, 0, 400
133, 1, 0, 0, 1, 0, 0, 200
134, 1, 0, 0, 1, 0, 0, 200
135, 3, 0, 0, 3, 0, 0, 600
136, 3, 0, 0, 3, 0, 0, 600
137, 4, 0, 0, 4, 0, 0, 800
138, 4, 0, 0, 4, 0, 0, 800
139, 3, 0, 0, 3, 0, 0, 600
140, 4, 0, 0, 4, 0, 0, 800
141, 3, 0, 0, 3, 0, 0, 600
142, 3, 0, 0, 3, 0, 0, 600
143, 2, 0, 0, 2, 0, 0, 400
144, 2, 0, 0, 2, 0, 0, 400
145, 3, 0, 0, 3, 0, 0, 600
146, 2, 0, 0, 2, 0, 0, 400
147, 1, 0, 0, 1, 0, 0, 200
148, 2, 0, 0, 2, 0, 0, 400
149, 2, 0, 0, 2, 0, 0, 400
150, 4, 0, 0, 4, 0, 0, 800
151, 0, 0, 0, 0, 0, 0, 0
152, 0, 0, 0, 0, 0, 0, 0
153, 2, 0, 0, 2, 0, 0, 400
154, 3, 0, 0, 3, 0, 0, 600
155, 4, 0, 0, 4, 0, 0, 800
156, 4, 0, 0, 4, 0, 0, 800
157, 3, 0, 0, 3, 0, 0, 600
158, 3, 0, 0, 3, 0, 0, 600
159, 2, 0, 0, 2, 0, 0, 400
160, 2, 0, 0, 2, 0, 0, 400
161, 2, 0, 0, 2, 0, 0, 400
162, 1, 0, 0, 1, 0, 0, 200
163, 2, 0, 0, 2, 0, 0, 400
164, 4, 0, 0, 4, 0, 0, 800
165, 0, 0, 0, 0, 0, 0, 0
166, 0, 0, 0, 0, 0, 0, 0
167, 0, 0, 0, 0, 0, 0, 0
168, 2, 0, 0, 2, 0, 0, 400
169, 3, 0, 0, 3, 0, 0, 600
170, 3, 0, 0, 3, 0, 0, 600
171, 2, 0, 0, 2, 0, 0, 400
172, 3, 0, 0, 3, 0, 0, 600
173, 0, 0, 0, 0, 0, 0, 0
174, 2, 0, 0, 2, 0, 0, 400
175, 2, 0, 0, 2, 0, 0, 400
176, 4, 0, 0, 4, 0, 0, 800
177, 2, 0, 0, 2, 0, 0, 400
178, 2, 0, 0, 2, 0, 0, 400
179, 0, 0, 0, 0, 0, 0, 0
180, 3, 0, 0, 3, 0, 0, 600
181, 1, 0, 0, 1, 0, 0, 200
182, 2, 0, 0, 2, 0, 0, 400
183, 2, 0, 0, 2, 0, 0, 400
184, 1, 0, 0, 1, 0, 0, 200
185, 3, 0, 0, 3, 0, 0, 600
186, 4, 0, 0, 4, 0, 0, 800
187, 3, 0, 0, 3, 0, 0, 600
188, 3, 0, 0, 3, 0, 0, 600
189, 4, 0, 0, 4, 0, 0, 800
190, 2, 0, 0, 2, 0, 0, 400
191, 2, 0, 0, 2, 0, 0, 400
192, 0, 0, 0, 0, 0, 0, 0
193, 2, 0, 0, 2, 0, 0, 400
194, 3, 0, 0, 3, 0, 0, 600
195, 3, 0, 0, 3, 0, 0, 600
196, 2, 0, 0, 2, 0, 0, 400
197, 2, 0, 0, 2, 0, 0, 400
198, 0, 0, 0, 0, 0, 0, 0
199, 3, 0, 0, 3, 0, 0, 600
200, 3, 0, 0, 3, 0, 0, 600
201, 4, 0, 0, 4, 0, 0, 800
202, 4, 0, 0, 4, 0, 0, 800
203, 4, 0, 0, 4, 0, 0, 800
204, 2, 0, 0, 2, 0, 0, 400
205, 3, 0, 0, 3, 0, 0, 600
206, 4, 0, 0, 4, 0, 0, 800
207, 2, 0, 0, 2, 0, 0, 400
208, 3, 0, 0, 3, 0, 0, 600
209, 3, 0, 0, 3, 0, 0, 600
210, 3, 0, 0, 3, 0, 0, 600
211, 0, 0, 0, 0, 0, 0, 0
212, 3, 0, 0, 3, 0, 0, 600
213, 2, 0, 0, 2, 0, 0, 400
214, 0, 0, 0, 0, 0, 0, 0
215, 0, 0, 0, 0, 0, 0, 0
216, 3, 0, 0, 3, 0, 0, 600
217, 0, 0, 0, 0, 0, 0, 0
218, 2, 0, 0, 2, 0, 0, 400
219, 4, 0, 0, 4, 0, 0, 800
220, 0, 0, 0, 0, 0, 0, 0
221, 4, 0, 0, 4, 0, 0, 800
222, 3, 0, 0, 3, 0, 0, 600
223, 2, 0, 0, 2, 0, 0, 400
224, 3, 0, 0, 3, 0, 0, 600
225, 3, 0, 0, 3, 0, 0, 600
226, 3, 0, 0, 3, 0, 0, 600
227, 1, 0, 0, 1, 0, 0, 200
228, 2, 0, 0, 2, 0, 0, 400
229, 1, 0, 0, 1, 0, 0, 200
230, 1, 0, 0, 1, 0, 0, 200
231, 3, 0, 0, 3, 0, 0, 600
232, 3, 0, 0, 3, 0, 0, 600
233, 4, 0, 0, 4, 0, 0, 800
234, 0, 0, 0, 0, 0, 0, 0
235, 4, 0, 0, 4, 0, 0, 800
236, 1, 0, 0, 1, 0, 0, 200
237, 3, 0, 0, 3, 0, 0, 600
238, 2, 0, 0, 2, 0, 0, 400
239, 3, 0, 0, 3, 0, 0, 600
240, 4, 0, 0, 4, 0, 0, 800
241, 2, 0, 0, 2, 0, 0, 400
242, 4, 0, 0, 4, 0, 0, 800
243, 3, 0, 0, 3, 0, 0, 600
244, 3, 0, 0, 3, 0, 0, 600
245, 4, 0, 0, 4, 0, 0, 800
246, 4, 0, 0, 4, 0, 0, 800
247, 3, 0, 0, 3, 0, 0, 600
248, 1, 0, 0, 1, 0, 0, 200
249, 4, 0, 0, 4, 0, 0, 800
250, 2, 0, 0, 2, 0, 0, 400
251, 3, 0, 0, 3, 0, 0, 600
252, 3, 0, 0, 3, 0, 0, 600
253, 2, 0, 0, 2, 0, 0, 400
254, 3, 0, 0, 3, 0, 0, 600
255, 3, 0, 0, 3, 0, 0, 600
256, 4, 0, 0, 4, 0, 0, 800
257, 0, 0, 0, 0, 0, 0, 0
258, 2, 0, 0, 2, 0, 0, 400
259, 4, 0, 0, 4, 0, 0, 800
260, 4, 0, 0, 4, 0, 0, 800
261, 3, 0, 0, 3, 0, 0, 600
262, 4, 0, 0, 4, 0, 0, 800
263, 0, 0, 0, 0, 0, 0, 0
264, 2, 0, 0, 2, 0, 0, 400
265, 0, 0, 0, 0, 0, 0, 0
266, 2, 0, 0, 2, 0, 0, 400
267, 0, 0, 0, 0, 0, 0, 0
268, 0, 0, 0, 0, 0, 0, 0
269, 2, 0, 0, 2, 0, 0, 400
270, 4, 0, 0, 4, 0, 0, 800
271, 4, 0, 0, 4, 0, 0, 800
272, 2, 0, 0, 2, 0, 0, 400
273, 4, 0, 0, 4, 0, 0, 800
274, 2, 0, 0, 2, 0, 0, 400
275, 3, 0, 0, 3, 0, 0, 600
276, 2, 0, 0, 2, 0, 0, 400
277, 0, 0, 0, 0, 0, 0, 0
278, 1, 0, 0, 1, 0, 0, 200
279, 1, 0, 0, 1, 0, 0, 200
280, 4, 0, 0, 4, 0, 0, 800
281, 2, 0, 0, 2, 0, 0, 400
282, 1, 0, 0, 1, 0, 0, 200
283, 3, 0, 0, 3, 0, 0, 600
284, 2, 0, 0, 2, 0, 0, 400
285, 2, 0, 0, 2, 0, 0, 400
286, 4, 0, 0, 4, 0, 0, 800
287, 4, 0, 0, 4, 0, 0, 800
288, 0, 0, 0, 0, 0, 0, 0
289, 0, 0, 0, 0, 0, 0, 0
290, 3, 0, 0, 3, 0, 0, 600
291, 2, 0, 0, 2, 0, 0, 400
292, 4, 0, 0, 4, 0, 0, 800
293, 2, 0, 0, 2, 0, 0, 400
294, 3, 0, 0, 3, 0, 0, 600
295, 2, 0, 0, 2, 0, 0, 400
296, 2, 0, 0, 2, 0, 0, 400
297, 4, 0, 0, 4, 0, 0, 800
298, 1, 0, 0, 1, 0, 0, 200
299, 2, 0, 0, 2, 0, 0, 400
300, 1, 0, 0, 1, 0, 0, 200
301, 4, 0, 0, 4, 0, 0, 800
302, 1, 0, 0, 1, 0, 0, 200
303, 0, 0, 0, 0, 0, 0, 0
304, 4, 0, 0, 4, 0, 0, 800
305, 3, 0, 0, 3, 0, 0, 600
306, 2, 0, 0, 2, 0, 0, 400
307, 0, 0, 0, 0, 0, 0, 0
308, 1, 0, 0, 1, 0, 0, 200
309, 2, 0, 0, 2, 0, 0, 400
310, 0, 0, 0, 0, 0, 0, 0
311, 2, 0, 0, 2, 0, 0, 400
312, 3, 0, 0, 3, 0, 0, 600
313, 4, 0, 0, 4, 0, 0, 800
314, 1, 0, 0, 1, 0, 0, 200
315, 4, 0, 0, 4, 0, 0, 800
316, 3, 0, 0, 3, 0, 0, 600
317, 0, 0, 0, 0, 0, 0, 0
318, 2, 0, 0, 2, 0, 0, 400
319, 0, 0, 0, 0, 0, 0, 0
320, 4, 0, 0, 4, 0, 0, 800
321, 0, 0, 0, 0, 0, 0, 0
322, 4, 0, 0, 4, 0, 0, 800
323, 3, 0, 0, 3, 0, 0, 600
324, 3, 0, 0, 3, 0, 0, 600
325, 4, 0, 0, 4, 0, 0, 800
326, 4, 0, 0, 4, 0, 0, 800
327, 2, 0, 0, 2, 0, 0, 400
328, 4, 0, 0, 4, 0, 0, 800
329, 1, 0, 0, 1, 0, 0, 200
330, 2, 0, 0, 2, 0, 0, 400
331, 4, 0, 0, 4, 0, 0, 800
332, 4, 0, 0, 4, 0, 0, 800
333, 1, 0, 0, 1, 0, 0, 200
334, 3, 0, 0, 3, 0, 0, 600
335, 2, 0, 0, 2, 0, 0, 400
336, 4, 0, 0, 4, 0, 0, 800
337, 1, 0, 0, 1, 0, 0, 200
338, 0, 0, 0, 0, 0, 0, 0
339, 3, 0, 0, 3, 0, 0, 600
340, 4, 0, 0, 4, 0, 0, 800
341, 4, 0, 0, 4, 0, 0, 800
342, 1, 0, 0, 1, 0, 0, 200
343, 3, 0, 0, 3, 0, 0, 600
344, 2, 0, 0, 2, 0, 0, 400
345, 3, 0, 0, 3, 0, 0, 600
346, 4, 0, 0, 4, 0, 0, 800
347, 3, 0, 0, 3, 0, 0, 600
348, 3, 0, 0, 3, 0, 0, 600
349, 4, 0, 0, 4, 0, 0, 800
350, 3, 0, 0, 3, 0, 0, 600
351, 0, 0, 0, 0, 0, 0, 0
352, 4, 0, 0, 4, 0, 0, 800
353, 4, 0, 0, 4, 0, 0, 800
354, 3, 0, 0, 3, 0, 0, 600
355, 1, 0, 0, 1, 0, 0, 200
356, 3, 0, 0, 3, 0, 0, 600
357, 2, 0, 0, 2, 0, 0, 400
358, 1, 0, 0, 1, 0, 0, 200
359, 2, 0, 0, 2, 0, 0, 400
360, 4, 0, 0, 4, 0, 0, 800
361, 2, 0, 0, 2, 0, 0, 400
362, 3, 0, 0, 3, 0, 0, 600
363, 4, 0, 0, 4, 0, 0, 800
364, 3, 0, 0, 3, 0, 0, 600
365, 2, 0, 0, 2, 0, 0, 400
