days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 2, 1, 0, 3, 350, 0, 600
2, 2, 1, 1, 0, 2, 350, 0, 400
3, 2, 2, 1, 0, 1, 350, 0, 200
4, 3, 1, 1, 0, 3, 350, 0, 600
5, 3, 2, 1, 0, 2, 350, 0, 400
6, 3, 1, 1, 0, 3, 350, 0, 600
7, 4, 2, 1, 0, 3, 350, 0, 600
8, 3, 1, 1, 0, 3, 350, 0, 600
9, 3, 1, 1, 0, 2, 350, 0, 400
10, 0, 0, 0, 1, 1, 0, 50, 0
11, 3, 4, 1, 0, 2, 350, 0, 400
12, 4, 3, 1, 0, 4, 350, 0, 800
13, 2, 2, 1, 0, 2, 350, 0, 400
14, 2, 1, 1, 0, 2, 350, 0, 400
15, 4, 3, 1, 0, 3, 350, 0, 600
16, 3, 2, 1, 0, 3, 350, 0, 600
17, 2, 1, 1, 0, 2, 350, 0, 400
18, 0, 0, 0, 1, 1, 0, 50, 0
19, 3, 1, 1, 0, 2, 350, 0, 400
20, 3, 1, 1, 0, 2, 350, 0, 400
21, 4, 2, 1, 0, 3, 350, 0, 600
22, 2, 1, 1, 0, 2, 350, 0, 400
23, 3, 2, 1, 0, 2, 350, 0, 400
24, 1, 1, 1, 0, 1, 350, 0, 200
25, 4, 1, 1, 0, 3, 350, 0, 600
26, 4, 2, 1, 0, 3, 350, 0, 600
27, 3, 1, 1, 0, 3, 350, 0, 600
28, 2, 2, 1, 0, 1, 350, 0, 200
29, 0, 1, 1, 0, 0, 350, 0, 0
30, 3, 3, 1, 0, 2, 350, 0, 400
31, 2, 2, 1, 0, 2, 350, 0, 400
32, 4, 1, 1, 0, 4, 350, 0, 800
33, 3, 2, 1, 0, 2, 350, 0, 400
34, 4, 1, 1, 0, 4, 350, 0, 800
35, 3, 4, 1, 0, 2, 350, 0, 400
36, 0, 3, 1, 0, 0, 350, 0, 0
37, 2, 2, 1, 0, 2, 350, 0, 400
38, 3, 1, 1, 0, 3, 350, 0, 600
39, 4, 2, 1, 0, 3, 350, 0, 600
40, 4, 1, 1, 0, 4, 350, 0, 800
41, 1, 2, 1, 0, 0, 350, 0, 0
42, 1, 1, 1, 0, 1, 350, 0, 200
43, 4, 4, 1, 0, 3, 350, 0, 600
44, 3, 3, 1, 0, 3, 350, 0, 600
45, 4, 2, 1, 0, 4, 350, 0, 800
46, 3, 1, 1, 0, 3, 350, 0, 600
47, 2, 1, 1, 0, 1, 350, 0, 200
48, 4, 1, 1, 0, 3, 350, 0, 600
49, 4, 3, 1, 0, 3, 350, 0, 600
50, 0, 2, 1, 0, 0, 350, 0, 0
51, 3, 1, 1, 0, 3, 350, 0, 600
52, 3, 2, 1, 0, 2, 350, 0, 400
53, 0, 1, 1, 0, 0, 350, 0, 0
54, 4, 1, 1, 0, 3, 350, 0, 600
55, 4, 3, 1, 0, 3, 350, 0, 600
56, 3, 2, 1, 0, 3, 350, 0, 600
57, 3, 1, 1, 0, 3, 350, 0, 600
58, 2, 2, 1, 0, 1, 350, 0, 200
59, 3, 1, 1, 0, 3, 350, 0, 600
60, 4, 2, 1, 0, 3, 350, 0, 600
61, 2, 1, 1, 0, 2, 350, 0, 400
62, 4, 1, 1, 0, 3, 350, 0, 600
63, 4, 3, 1, 0, 3, 350, 0, 600
64, 2, 2, 1, 0, 2, 350, 0, 400
65, 2, 1, 1, 0, 2, 350, 0, 400
66, 0, 0, 0, 1, 1, 0, 50, 0
67, 2, 2, 1, 0, 1, 350, 0, 200
68, 3, 1, 1, 0, 3, 350, 0, 600
69, 0, 0, 0, 1, 1, 0, 50, 0
70, 0, 0, 0, 1, 1, 0, 50, 0
71, 3, 1, 1, 0, 2, 350, 0, 400
72, 2, 3, 1, 0, 1, 350, 0, 200
73, 3, 2, 1, 0, 3, 350, 0, 600
74, 0, 1, 1, 0, 0, 350, 0, 0
75, 4, 4, 1, 0, 3, 350, 0, 600
76, 1, 3, 1, 0, 1, 350, 0, 200
77, 2, 2, 1, 0, 2, 350, 0, 400
78, 4, 1, 1, 0, 4, 350, 0, 800
79, 2, 4, 1, 0, 1, 350, 0, 200
80, 4, 3, 1, 0, 4, 350, 0, 800
81, 3, 2, 1, 0, 3, 350, 0, 600
82, 3, 1, 1, 0, 3, 350, 0, 600
83, 2, 2, 1, 0, 1, 350, 0, 200
84, 3, 1, 1, 0, 3, 350, 0, 600
85, 3, 3, 1, 0, 2, 350, 0, 400
86, 3, 2, 1, 0, 3, 350, 0, 600
87, 3, 1, 1, 0, 3, 350, 0, 600
88, 1, 1, 1, 0, 0, 350, 0, 0
89, 3, 1, 1, 0, 2, 350, 0, 400
90, 3, 1, 1, 0, 2, 350, 0, 400
91, 1, 4, 1, 0, 0, 350, 0, 0
92, 4, 3, 1, 0, 4, 350, 0, 800
93, 2, 2, 1, 0, 2, 350, 0, 400
94, 3, 1, 1, 0, 3, 350, 0, 600
95, 0, 0, 0, 1, 1, 0, 50, 0
96, 0, 0, 0, 1, 1, 0, 50, 0
97, 2, 2, 1, 0, 1, 350, 0, 200
98, 3, 1, 1, 0, 3, 350, 0, 600
99, 3, 1, 1, 0, 2, 350, 0, 400
100, 3, 3, 1, 0, 2, 350, 0, 400
101, 2, 2, 1, 0, 2, 350, 0, 400
102, 3, 1, 1, 0, 3, 350, 0, 600
103, 4, 4, 1, 0, 3, 350, 0, 600
104, 0, 3, 1, 0, 0, 350, 0, 0
105, 4, 2, 1, 0, 4, 350, 0, 800
106, 3, 1, 1, 0, 3, 350, 0, 600
107, 4, 1, 1, 0, 3, 350, 0, 600
108, 2, 1, 1, 0, 1, 350, 0, 200
109, 3, 1, 1, 0, 2, 350, 0, 400
110, 2, 1, 1, 0, 1, 350, 0, 200
111, 4, 2, 1, 0, 3, 350, 0, 600
112, 1, 1, 1, 0, 1, 350, 0, 200
113, 2, 1, 1, 0, 1, 350, 0, 200
114, 3, 2, 1, 0, 2, 350, 0, 400
115, 4, 1, 1, 0, 4, 350, 0, 800
116, 0, 0, 0, 1, 1, 0, 50, 0
117, 4, 2, 1, 0, 3, 350, 0, 600
118, 4, 1, 1, 0, 4, 350, 0, 800
119, 0, 0, 0, 1, 1, 0, 50, 0
120, 2, 1, 1, 0, 1, 350, 0, 200
121, 3, 2, 1, 0, 2, 350, 0, 400
122, 3, 1, 1, 0, 3, 350, 0, 600
123, 2, 1, 1, 0, 1, 350, 0, 200
124, 4, 2, 1, 0, 3, 350, 0, 600
125, 4, 1, 1, 0, 4, 350, 0, 800
126, 4, 4, 1, 0, 3, 350, 0, 600
127, 4, 3, 1, 0, 4, 350, 0, 800
128, 2, 2, 1, 0, 2, 350, 0, 400
129, 2, 1, 1, 0, 2, 350, 0, 400
130, 1, 1, 1, 0, 0, 350, 0, 0
131, 2, 1, 1, 0, 1, 350, 0, 200
132, 1, 2, 1, 0, 0, 350, 0, 0
133, 1, 1, 1, 0, 1, 350, 0, 200
134, 0, 0, 0, 1, 1, 0, 50, 0
