days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 2, 2, 1, 2, 4, 0, 0, 1400, 0, 0
2, 3, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
3, 4, 3, 2, 1, 1, 4, 0, 0, 1400, 0, 0
4, 3, 2, 1, 4, 4, 4, 0, 1, 1400, 0, 200
5, 4, 1, 1, 3, 3, 4, 0, 3, 1400, 0, 600
6, 3, 1, 1, 2, 2, 4, 0, 1, 1400, 0, 200
7, 2, 2, 3, 1, 1, 4, 0, 0, 1400, 0, 0
8, 4, 1, 2, 4, 1, 4, 0, 2, 1400, 0, 400
9, 1, 2, 1, 3, 0, 3, 1, 0, 1050, 50, 0
10, 4, 1, 1, 2, 4, 4, 0, 2, 1400, 0, 400
11, 4, 2, 1, 1, 3, 4, 0, 2, 1400, 0, 400
12, 0, 1, 0, 0, 2, 2, 2, 0, 700, 100, 0
13, 2, 2, 4, 0, 1, 3, 1, 0, 1050, 50, 0
14, 2, 1, 3, 1, 3, 4, 0, 0, 1400, 0, 0
15, 3, 2, 2, 1, 2, 4, 0, 1, 1400, 0, 200
16, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
17, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
18, 3, 1, 2, 3, 0, 3, 1, 0, 1050, 50, 0
19, 3, 1, 1, 2, 3, 4, 0, 1, 1400, 0, 200
20, 0, 0, 0, 1, 2, 2, 2, 0, 700, 100, 0
21, 4, 3, 1, 1, 1, 4, 0, 1, 1400, 0, 200
22, 1, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
23, 1, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
24, 3, 3, 3, 1, 1, 4, 0, 0, 1400, 0, 0
25, 3, 2, 2, 1, 2, 4, 0, 1, 1400, 0, 200
26, 4, 1, 1, 4, 1, 4, 0, 3, 1400, 0, 600
27, 4, 1, 1, 3, 1, 4, 0, 1, 1400, 0, 200
28, 3, 4, 1, 2, 2, 4, 0, 0, 1400, 0, 0
29, 2, 3, 1, 1, 1, 4, 0, 1, 1400, 0, 200
30, 3, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
31, 1, 1, 4, 1, 0, 3, 1, 0, 1050, 50, 0
32, 4, 1, 3, 2, 2, 4, 0, 1, 1400, 0, 200
33, 2, 3, 2, 1, 1, 4, 0, 1, 1400, 0, 200
34, 3, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
35, 0, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
36, 4, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
37, 4, 3, 4, 2, 1, 4, 0, 1, 1400, 0, 200
38, 1, 2, 3, 1, 2, 4, 0, 0, 1400, 0, 0
39, 4, 1, 2, 1, 1, 4, 0, 3, 1400, 0, 600
40, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
41, 3, 3, 1, 1, 0, 3, 1, 0, 1050, 50, 0
42, 1, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
43, 2, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
44, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
45, 4, 3, 1, 2, 3, 4, 0, 0, 1400, 0, 0
46, 4, 2, 1, 1, 2, 4, 0, 3, 1400, 0, 600
47, 2, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
48, 4, 2, 3, 1, 1, 4, 0, 1, 1400, 0, 200
49, 3, 1, 2, 2, 1, 4, 0, 1, 1400, 0, 200
50, 4, 2, 1, 1, 2, 4, 0, 2, 1400, 0, 400
51, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
52, 3, 3, 1, 1, 0, 3, 1, 0, 1050, 50, 0
53, 2, 2, 3, 2, 0, 3, 1, 0, 1050, 50, 0
54, 4, 1, 2, 1, 1, 4, 0, 3, 1400, 0, 600
55, 0, 0, 1, 0, 0, 1, 3, 0, 350, 150, 0
56, 2, 4, 4, 0, 0, 2, 2, 0, 700, 100, 0
57, 2, 3, 3, 1, 1, 4, 0, 0, 1400, 0, 0
58, 3, 2, 2, 4, 1, 4, 0, 1, 1400, 0, 200
59, 4, 1, 1, 3, 2, 4, 0, 3, 1400, 0, 600
60, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
61, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
62, 2, 4, 1, 1, 0, 3, 1, 0, 1050, 50, 0
63, 2, 3, 2, 3, 0, 3, 1, 0, 1050, 50, 0
64, 2, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
65, 1, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
66, 3, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
67, 0, 0, 0, 2, 0, 1, 3, 0, 350, 150, 0
68, 4, 4, 1, 1, 1, 4, 0, 1, 1400, 0, 200
69, 4, 3, 2, 1, 3, 4, 0, 1, 1400, 0, 200
70, 1, 2, 1, 2, 2, 4, 0, 0, 1400, 0, 0
71, 3, 1, 3, 1, 1, 4, 0, 2, 1400, 0, 400
72, 3, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
73, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
74, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
75, 4, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
