days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 1, 1, 1, 0, 0, 350, 0, 0
2, 2, 1, 1, 0, 1, 350, 0, 200
3, 3, 3, 1, 0, 2, 350, 0, 400
4, 1, 2, 1, 0, 1, 350, 0, 200
5, 0, 1, 1, 0, 0, 350, 0, 0
6, 4, 2, 1, 0, 3, 350, 0, 600
7, 4, 1, 1, 0, 4, 350, 0, 800
8, 3, 1, 1, 0, 2, 350, 0, 400
9, 2, 1, 1, 0, 1, 350, 0, 200
10, 1, 2, 1, 0, 0, 350, 0, 0
11, 4, 1, 1, 0, 4, 350, 0, 800
12, 3, 1, 1, 0, 2, 350, 0, 400
13, 4, 2, 1, 0, 3, 350, 0, 600
14, 3, 1, 1, 0, 3, 350, 0, 600
15, 3, 3, 1, 0, 2, 350, 0, 400
16, 4, 2, 1, 0, 4, 350, 0, 800
17, 2, 1, 1, 0, 2, 350, 0, 400
18, 2, 4, 1, 0, 1, 350, 0, 200
19, 2, 3, 1, 0, 2, 350, 0, 400
20, 2, 2, 1, 0, 2, 350, 0, 400
21, 2, 1, 1, 0, 2, 350, 0, 400
22, 0, 0, 0, 1, 0, 0, 50, 0
23, 4, 2, 1, 0, 3, 350, 0, 600
24, 3, 1, 1, 0, 3, 350, 0, 600
25, 1, 4, 1, 0, 0, 350, 0, 0
26, 2, 3, 1, 0, 2, 350, 0, 400
27, 2, 2, 1, 0, 2, 350, 0, 400
28, 0, 1, 1, 0, 0, 350, 0, 0
29, 0, 0, 0, 1, 0, 0, 50, 0
30, 2, 1, 1, 0, 1, 350, 0, 200
31, 3, 1, 1, 0, 2, 350, 0, 400
32, 2, 3, 1, 0, 1, 350, 0, 200
33, 1, 2, 1, 0, 1, 350, 0, 200
34, 3, 1, 1, 0, 3, 350, 0, 600
35, 2, 1, 1, 0, 1, 350, 0, 200
36, 4, 1, 1, 0, 3, 350, 0, 600
37, 3, 4, 1, 0, 2, 350, 0, 400
38, 3, 3, 1, 0, 3, 350, 0, 600
39, 3, 2, 1, 0, 3, 350, 0, 600
40, 3, 1, 1, 0, 3, 350, 0, 600
41, 3, 2, 1, 0, 2, 350, 0, 400
42, 0, 1, 1, 0, 0, 350, 0, 0
43, 2, 1, 1, 0, 1, 350, 0, 200
44, 4, 3, 1, 0, 3, 350, 0, 600
45, 2, 2, 1, 0, 2, 350, 0, 400
46, 4, 1, 1, 0, 4, 350, 0, 800
47, 3, 1, 1, 0, 2, 350, 0, 400
48, 1, 2, 1, 0, 0, 350, 0, 0
49, 3, 1, 1, 0, 3, 350, 0, 600
50, 4, 2, 1, 0, 3, 350, 0, 600
51, 3, 1, 1, 0, 3, 350, 0, 600
52, 3, 4, 1, 0, 2, 350, 0, 400
53, 3, 3, 1, 0, 3, 350, 0, 600
54, 0, 2, 1, 0, 0, 350, 0, 0
55, 3, 1, 1, 0, 3, 350, 0, 600
56, 4, 3, 1, 0, 3, 350, 0, 600
57, 3, 2, 1, 0, 3, 350, 0, 600
58, 4, 1, 1, 0, 4, 350, 0, 800
59, 3, 1, 1, 0, 2, 350, 0, 400
60, 2, 1, 1, 0, 1, 350, 0, 200
61, 4, 2, 1, 0, 3, 350, 0, 600
62, 3, 1, 1, 0, 3, 350, 0, 600
63, 4, 3, 1, 0, 3, 350, 0, 600
64, 2, 2, 1, 0, 2, 350, 0, 400
65, 1, 1, 1, 0, 1, 350, 0, 200
66, 3, 2, 1, 0, 2, 350, 0, 400
67, 0, 1, 1, 0, 0, 350, 0, 0
68, 3, 1, 1, 0, 2, 350, 0, 400
69, 4, 2, 1, 0, 3, 350, 0, 600
70, 1, 1, 1, 0, 1, 350, 0, 200
71, 3, 2, 1, 0, 2, 350, 0, 400
72, 3, 1, 1, 0, 3, 350, 0, 600
73, 3, 4, 1, 0, 2, 350, 0, 400
74, 0, 3, 1, 0, 0, 350, 0, 0
75, 4, 2, 1, 0, 4, 350, 0, 800
76, 4, 1, 1, 0, 4, 350, 0, 800
77, 1, 2, 1, 0, 0, 350, 0, 0
78, 4, 1, 1, 0, 4, 350, 0, 800
79, 3, 1, 1, 0, 2, 350, 0, 400
80, 2, 1, 1, 0, 1, 350, 0, 200
81, 0, 0, 0, 1, 0, 0, 50, 0
82, 2, 3, 1, 0, 1, 350, 0, 200
83, 4, 2, 1, 0, 4, 350, 0, 800
84, 2, 1, 1, 0, 2, 350, 0, 400
85, 3, 2, 1, 0, 2, 350, 0, 400
86, 3, 1, 1, 0, 3, 350, 0, 600
87, 4, 1, 1, 0, 3, 350, 0, 600
88, 3, 4, 1, 0, 2, 350, 0, 400
89, 4, 3, 1, 0, 4, 350, 0, 800
90, 3, 2, 1, 0, 3, 350, 0, 600
91, 1, 1, 1, 0, 1, 350, 0, 200
92, 3, 1, 1, 0, 2, 350, 0, 400
93, 3, 4, 1, 0, 2, 350, 0, 400
94, 3, 3, 1, 0, 3, 350, 0, 600
95, 2, 2, 1, 0, 2, 350, 0, 400
96, 2, 1, 1, 0, 2, 350, 0, 400
97, 2, 2, 1, 0, 1, 350, 0, 200
98, 1, 1, 1, 0, 1, 350, 0, 200
99, 4, 1, 1, 0, 3, 350, 0, 600
100, 2, 2, 1, 0, 1, 350, 0, 200
101, 2, 1, 1, 0, 2, 350, 0, 400
102, 1, 2, 1, 0, 0, 350, 0, 0
103, 2, 1, 1, 0, 2, 350, 0, 400
104, 4, 1, 1, 0, 3, 350, 0, 600
105, 4, 2, 1, 0, 3, 350, 0, 600
