days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 0, 0, 4, 0, 0, 800
2, 4, 0, 0, 4, 0, 0, 800
3, 4, 0, 0, 4, 0, 0, 800
4, 3, 0, 0, 3, 0, 0, 600
5, 3, 0, 0, 3, 0, 0, 600
6, 4, 0, 0, 4, 0, 0, 800
7, 1, 0, 0, 1, 0, 0, 200
8, 4, 0, 0, 4, 0, 0, 800
9, 4, 0, 0, 4, 0, 0, 800
10, 4, 0, 0, 4, 0, 0, 800
11, 3, 0, 0, 3, 0, 0, 600
12, 2, 0, 0, 2, 0, 0, 400
13, 2, 0, 0, 2, 0, 0, 400
14, 3, 0, 0, 3, 0, 0, 600
15, 2, 0, 0, 2, 0, 0, 400
16, 4, 0, 0, 4, 0, 0, 800
17, 4, 0, 0, 4, 0, 0, 800
18, 0, 0, 0, 0, 0, 0, 0
19, 1, 0, 0, 1, 0, 0, 200
20, 4, 0, 0, 4, 0, 0, 800
21, 3, 0, 0, 3, 0, 0, 600
22, 4, 0, 0, 4, 0, 0, 800
23, 4, 0, 0, 4, 0, 0, 800
24, 1, 0, 0, 1, 0, 0, 200
25, 4, 0, 0, 4, 0, 0, 800
26, 2, 0, 0, 2, 0, 0, 400
27, 4, 0, 0, 4, 0, 0, 800
28, 2, 0, 0, 2, 0, 0, 400
29, 3, 0, 0, 3, 0, 0, 600
30, 3, 0, 0, 3, 0, 0, 600
31, 4, 0, 0, 4, 0, 0, 800
32, 0, 0, 0, 0, 0, 0, 0
33, 3, 0, 0, 3, 0, 0, 600
34, 3, 0, 0, 3, 0, 0, 600
35, 3, 0, 0, 3, 0, 0, 600
36, 2, 0, 0, 2, 0, 0, 400
37, 1, 0, 0, 1, 0, 0, 200
38, 3, 0, 0, 3, 0, 0, 600
39, 3, 0, 0, 3, 0, 0, 600
40, 4, 0, 0, 4, 0, 0, 800
41, 3, 0, 0, 3, 0, 0, 600
42, 4, 0, 0, 4, 0, 0, 800
43, 2, 0, 0, 2, 0, 0, 400
44, 0, 0, 0, 0, 0, 0, 0
45, 2, 0, 0, 2, 0, 0, 400
46, 2, 0, 0, 2, 0, 0, 400
47, 1, 0, 0, 1, 0, 0, 200
48, 4, 0, 0, 4, 0, 0, 800
49, 3, 0, 0, 3, 0, 0, 600
50, 4, 0, 0, 4, 0, 0, 800
51, 3, 0, 0, 3, 0, 0, 600
52, 4, 0, 0, 4, 0, 0, 800
53, 3, 0, 0, 3, 0, 0, 600
54, 1, 0, 0, 1, 0, 0, 200
55, 0, 0, 0, 0, 0, 0, 0
56, 2, 0, 0, 2, 0, 0, 400
57, 0, 0, 0, 0, 0, 0, 0
58, 2, 0, 0, 2, 0, 0, 400
59, 3, 0, 0, 3, 0, 0, 600
60, 3, 0, 0, 3, 0, 0, 600
61, 2, 0, 0, 2, 0, 0, 400
62, 3, 0, 0, 3, 0, 0, 600
63, 2, 0, 0, 2, 0, 0, 400
64, 4, 0, 0, 4, 0, 0, 800
65, 0, 0, 0, 0, 0, 0, 0
66, 2, 0, 0, 2, 0, 0, 400
67, 2, 0, 0, 2, 0, 0, 400
68, 0, 0, 0, 0, 0, 0, 0
69, 4, 0, 0, 4, 0, 0, 800
70, 2, 0, 0, 2, 0, 0, 400
71, 2, 0, 0, 2, 0, 0, 400
72, 3, 0, 0, 3, 0, 0, 600
73, 0, 0, 0, 0, 0, 0, 0
74, 4, 0, 0, 4, 0, 0, 800
75, 4, 0, 0, 4, 0, 0, 800
76, 4, 0, 0, 4, 0, 0, 800
77, 3, 0, 0, 3, 0, 0, 600
78, 0, 0, 0, 0, 0, 0, 0
79, 0, 0, 0, 0, 0, 0, 0
80, 3, 0, 0, 3, 0, 0, 600
81, 2, 0, 0, 2, 0, 0, 400
82, 0, 0, 0, 0, 0, 0, 0
83, 3, 0, 0, 3, 0, 0, 600
84, 2, 0, 0, 2, 0, 0, 400
85, 0, 0, 0, 0, 0, 0, 0
86, 2, 0, 0, 2, 0, 0, 400
87, 4, 0, 0, 4, 0, 0, 800
88, 3, 0, 0, 3, 0, 0, 600
89, 3, 0, 0, 3, 0, 0, 600
90, 3, 0, 0, 3, 0, 0, 600
