purchased_cars, gross_profit, loss_idle, loss_no_rent, loss_total, neto_profit, goal, reached
0, 0, 0, 188400, 188400, -188400, 0, False
1, 119700, 1150, 150200, 151350, -31650, 75000, False
2, 236250, 2750, 108400, 111150, 125100, 150000, False
3, 353150, 4300, 82800, 87100, 266050, 225000, True
4, 437500, 10500, 54200, 64700, 372800, 300000, True
