days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
2, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
3, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
4, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
5, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
6, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
7, 3, 3, 1, 1, 3, 0, 0, 1050, 0, 0
8, 3, 2, 3, 1, 3, 0, 1, 1050, 0, 200
9, 3, 1, 2, 3, 3, 0, 2, 1050, 0, 400
10, 2, 2, 1, 2, 3, 0, 1, 1050, 0, 200
11, 2, 1, 3, 1, 3, 0, 1, 1050, 0, 200
12, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
13, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
14, 4, 3, 1, 1, 3, 0, 1, 1050, 0, 200
15, 4, 2, 3, 2, 3, 0, 2, 1050, 0, 400
16, 4, 1, 2, 1, 3, 0, 4, 1050, 0, 800
17, 4, 3, 1, 1, 3, 0, 2, 1050, 0, 400
18, 2, 2, 3, 1, 3, 0, 0, 1050, 0, 0
19, 3, 1, 2, 4, 3, 0, 2, 1050, 0, 400
20, 1, 4, 1, 3, 3, 0, 0, 1050, 0, 0
21, 2, 3, 2, 2, 3, 0, 1, 1050, 0, 200
22, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
23, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
24, 3, 1, 1, 2, 3, 0, 0, 1050, 0, 0
25, 3, 3, 3, 1, 3, 0, 1, 1050, 0, 200
26, 2, 2, 2, 2, 3, 0, 1, 1050, 0, 200
27, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
28, 4, 3, 2, 1, 3, 0, 1, 1050, 0, 200
29, 2, 2, 1, 4, 3, 0, 1, 1050, 0, 200
30, 0, 1, 0, 3, 2, 1, 0, 700, 50, 0
31, 4, 4, 1, 2, 3, 0, 2, 1050, 0, 400
32, 2, 3, 4, 1, 3, 0, 1, 1050, 0, 200
33, 3, 2, 3, 1, 3, 0, 2, 1050, 0, 400
34, 4, 1, 2, 4, 3, 0, 3, 1050, 0, 600
35, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
36, 3, 1, 4, 2, 3, 0, 1, 1050, 0, 200
37, 0, 0, 3, 1, 2, 1, 0, 700, 50, 0
38, 0, 0, 2, 0, 1, 2, 0, 350, 100, 0
39, 3, 1, 1, 4, 3, 0, 1, 1050, 0, 200
40, 3, 2, 1, 3, 3, 0, 1, 1050, 0, 200
41, 4, 1, 4, 2, 3, 0, 3, 1050, 0, 600
42, 2, 2, 3, 1, 3, 0, 1, 1050, 0, 200
43, 3, 1, 2, 3, 3, 0, 2, 1050, 0, 400
44, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
45, 1, 1, 0, 1, 2, 1, 0, 700, 50, 0
46, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
47, 2, 2, 1, 0, 2, 1, 0, 700, 50, 0
48, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
49, 1, 4, 0, 2, 2, 1, 0, 700, 50, 0
50, 0, 3, 0, 1, 2, 1, 0, 700, 50, 0
51, 2, 2, 1, 3, 3, 0, 0, 1050, 0, 0
52, 3, 1, 3, 2, 3, 0, 2, 1050, 0, 400
53, 2, 4, 2, 1, 3, 0, 1, 1050, 0, 200
54, 3, 3, 1, 2, 3, 0, 2, 1050, 0, 400
55, 4, 2, 2, 1, 3, 0, 3, 1050, 0, 600
56, 1, 1, 1, 1, 3, 0, 0, 1050, 0, 0
57, 3, 1, 4, 4, 3, 0, 0, 1050, 0, 0
58, 2, 1, 3, 3, 3, 0, 1, 1050, 0, 200
59, 0, 0, 2, 2, 2, 1, 0, 700, 50, 0
60, 3, 3, 1, 1, 3, 0, 2, 1050, 0, 400
61, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
62, 0, 1, 0, 1, 2, 1, 0, 700, 50, 0
63, 4, 2, 1, 3, 3, 0, 1, 1050, 0, 200
64, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
65, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
66, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
67, 3, 1, 3, 1, 3, 0, 1, 1050, 0, 200
68, 3, 1, 2, 2, 3, 0, 1, 1050, 0, 200
69, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
70, 2, 1, 2, 2, 3, 0, 0, 1050, 0, 0
71, 0, 0, 1, 1, 2, 1, 0, 700, 50, 0
72, 4, 3, 2, 1, 3, 0, 1, 1050, 0, 200
73, 1, 2, 1, 1, 3, 0, 0, 1050, 0, 0
74, 4, 1, 4, 2, 3, 0, 2, 1050, 0, 400
75, 4, 2, 3, 1, 3, 0, 3, 1050, 0, 600
76, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
77, 3, 3, 1, 1, 3, 0, 2, 1050, 0, 400
78, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
79, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
80, 1, 2, 0, 0, 1, 2, 0, 350, 100, 0
81, 4, 1, 3, 3, 3, 0, 2, 1050, 0, 400
82, 3, 2, 2, 2, 3, 0, 2, 1050, 0, 400
83, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
84, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
85, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
86, 4, 1, 4, 1, 3, 0, 1, 1050, 0, 200
87, 4, 2, 3, 4, 3, 0, 2, 1050, 0, 400
88, 3, 1, 2, 3, 3, 0, 3, 1050, 0, 600
89, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
90, 0, 0, 0, 1, 1, 2, 0, 350, 100, 0
91, 3, 1, 2, 1, 3, 0, 0, 1050, 0, 0
92, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
93, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
94, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
95, 3, 2, 1, 3, 3, 0, 1, 1050, 0, 200
96, 1, 1, 4, 2, 3, 0, 0, 1050, 0, 0
97, 4, 1, 3, 1, 3, 0, 3, 1050, 0, 600
98, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
99, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
100, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
101, 2, 1, 1, 4, 3, 0, 1, 1050, 0, 200
102, 4, 3, 2, 3, 3, 0, 2, 1050, 0, 400
103, 2, 2, 1, 2, 3, 0, 2, 1050, 0, 400
104, 1, 1, 2, 1, 3, 0, 0, 1050, 0, 0
105, 2, 1, 1, 4, 3, 0, 0, 1050, 0, 0
106, 2, 2, 1, 3, 3, 0, 0, 1050, 0, 0
107, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
108, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
109, 3, 3, 2, 1, 3, 0, 0, 1050, 0, 0
110, 4, 2, 1, 3, 3, 0, 3, 1050, 0, 600
111, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
112, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
113, 3, 1, 4, 2, 3, 0, 1, 1050, 0, 200
114, 4, 2, 3, 1, 3, 0, 3, 1050, 0, 600
115, 0, 1, 2, 0, 2, 1, 0, 700, 50, 0
116, 2, 3, 1, 3, 3, 0, 0, 1050, 0, 0
117, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
118, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
119, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
120, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
121, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
122, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
123, 3, 2, 1, 4, 3, 0, 0, 1050, 0, 0
124, 4, 1, 3, 3, 3, 0, 3, 1050, 0, 600
125, 2, 2, 2, 2, 3, 0, 1, 1050, 0, 200
126, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
127, 4, 3, 4, 2, 3, 0, 1, 1050, 0, 200
128, 1, 2, 3, 1, 3, 0, 1, 1050, 0, 200
129, 0, 1, 2, 0, 2, 1, 0, 700, 50, 0
130, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
131, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
132, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
133, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
134, 3, 1, 1, 1, 3, 0, 0, 1050, 0, 0
135, 2, 1, 3, 0, 2, 1, 0, 700, 50, 0
136, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
137, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
138, 2, 3, 4, 1, 3, 0, 0, 1050, 0, 0
139, 1, 2, 3, 2, 3, 0, 0, 1050, 0, 0
140, 4, 1, 2, 1, 3, 0, 4, 1050, 0, 800
141, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
142, 2, 1, 4, 1, 3, 0, 0, 1050, 0, 0
143, 4, 1, 3, 4, 3, 0, 2, 1050, 0, 400
144, 4, 1, 2, 3, 3, 0, 3, 1050, 0, 600
145, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
146, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
147, 2, 1, 3, 0, 2, 1, 0, 700, 50, 0
148, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
149, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
150, 1, 2, 0, 0, 1, 2, 0, 350, 100, 0
151, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
