days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 4, 3, 0, 0, 2, 2, 0, 700, 100, 0
2, 4, 3, 2, 1, 4, 4, 0, 2, 1400, 0, 400
3, 3, 2, 1, 1, 3, 4, 0, 2, 1400, 0, 400
4, 1, 1, 1, 0, 2, 3, 1, 0, 1050, 50, 0
5, 3, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
6, 3, 1, 2, 1, 3, 4, 0, 1, 1400, 0, 200
7, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
8, 4, 2, 4, 2, 1, 4, 0, 1, 1400, 0, 200
9, 4, 1, 3, 1, 3, 4, 0, 3, 1400, 0, 600
10, 2, 1, 2, 2, 2, 4, 0, 0, 1400, 0, 0
11, 3, 3, 1, 1, 1, 4, 0, 2, 1400, 0, 400
12, 1, 2, 3, 0, 0, 2, 2, 0, 700, 100, 0
13, 2, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
14, 3, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
15, 2, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
16, 3, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
17, 4, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
18, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
19, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
20, 3, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
21, 2, 3, 2, 1, 1, 4, 0, 0, 1400, 0, 0
22, 2, 2, 1, 2, 2, 4, 0, 0, 1400, 0, 0
23, 4, 1, 2, 1, 1, 4, 0, 3, 1400, 0, 600
24, 4, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
25, 3, 1, 4, 2, 1, 4, 0, 0, 1400, 0, 0
26, 3, 1, 3, 1, 2, 4, 0, 1, 1400, 0, 200
27, 3, 3, 2, 1, 1, 4, 0, 1, 1400, 0, 200
28, 2, 2, 1, 2, 2, 4, 0, 0, 1400, 0, 0
29, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
30, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
31, 2, 3, 1, 0, 0, 2, 2, 0, 700, 100, 0
32, 0, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
33, 0, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
34, 4, 3, 2, 1, 1, 4, 0, 0, 1400, 0, 0
35, 2, 2, 1, 1, 4, 4, 0, 0, 1400, 0, 0
36, 4, 1, 1, 2, 3, 4, 0, 2, 1400, 0, 400
37, 1, 2, 0, 1, 2, 3, 1, 0, 1050, 50, 0
38, 3, 1, 4, 1, 1, 4, 0, 1, 1400, 0, 200
39, 3, 1, 3, 1, 2, 4, 0, 0, 1400, 0, 0
40, 3, 2, 2, 2, 1, 4, 0, 1, 1400, 0, 200
41, 2, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
42, 2, 4, 3, 0, 0, 2, 2, 0, 700, 100, 0
43, 3, 3, 2, 2, 1, 4, 0, 1, 1400, 0, 200
44, 4, 2, 1, 1, 1, 4, 0, 3, 1400, 0, 600
45, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
46, 3, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
47, 1, 1, 0, 2, 0, 2, 2, 0, 700, 100, 0
48, 3, 4, 4, 1, 2, 4, 0, 0, 1400, 0, 0
49, 2, 3, 3, 1, 1, 4, 0, 1, 1400, 0, 200
50, 4, 2, 2, 2, 1, 4, 0, 2, 1400, 0, 400
51, 2, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
52, 2, 4, 1, 0, 0, 2, 2, 0, 700, 100, 0
53, 2, 3, 1, 1, 0, 3, 1, 0, 1050, 50, 0
54, 2, 2, 3, 3, 0, 3, 1, 0, 1050, 50, 0
55, 4, 1, 2, 2, 2, 4, 0, 3, 1400, 0, 600
56, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
57, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
58, 4, 1, 3, 3, 1, 4, 0, 1, 1400, 0, 200
59, 0, 0, 2, 2, 0, 2, 2, 0, 700, 100, 0
60, 4, 1, 1, 1, 4, 4, 0, 2, 1400, 0, 400
61, 4, 3, 3, 2, 3, 4, 0, 1, 1400, 0, 200
62, 0, 2, 2, 1, 2, 4, 0, 0, 1400, 0, 0
63, 2, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
64, 3, 3, 1, 1, 2, 4, 0, 0, 1400, 0, 0
65, 2, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
