days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
66, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
67, 3, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
68, 3, 3, 1, 1, 2, 4, 0, 0, 1400, 0, 0
69, 4, 2, 3, 2, 1, 4, 0, 2, 1400, 0, 400
70, 4, 1, 2, 1, 2, 4, 0, 3, 1400, 0, 600
71, 2, 4, 1, 1, 1, 4, 0, 0, 1400, 0, 0
72, 4, 3, 1, 3, 1, 4, 0, 1, 1400, 0, 200
73, 4, 2, 4, 2, 1, 4, 0, 2, 1400, 0, 400
74, 3, 1, 3, 1, 4, 4, 0, 2, 1400, 0, 400
75, 4, 2, 2, 3, 3, 4, 0, 2, 1400, 0, 400
76, 1, 1, 1, 2, 2, 4, 0, 1, 1400, 0, 200
77, 1, 3, 0, 1, 1, 3, 1, 0, 1050, 50, 0
78, 0, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
79, 3, 1, 1, 1, 3, 4, 0, 0, 1400, 0, 0
80, 4, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
81, 1, 4, 1, 0, 1, 3, 1, 0, 1050, 50, 0
82, 3, 3, 2, 1, 1, 4, 0, 0, 1400, 0, 0
83, 2, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
84, 1, 1, 1, 0, 1, 3, 1, 0, 1050, 50, 0
85, 3, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
86, 3, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
87, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
88, 3, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
89, 4, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
90, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
91, 3, 1, 1, 3, 0, 3, 1, 0, 1050, 50, 0
92, 2, 2, 2, 2, 0, 3, 1, 0, 1050, 50, 0
93, 0, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
94, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
95, 2, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
96, 4, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
97, 0, 1, 0, 0, 1, 2, 2, 0, 700, 100, 0
98, 4, 2, 3, 2, 3, 4, 0, 0, 1400, 0, 0
99, 0, 1, 2, 1, 2, 4, 0, 0, 1400, 0, 0
100, 2, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
101, 3, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
102, 2, 3, 4, 1, 0, 3, 1, 0, 1050, 50, 0
103, 4, 2, 3, 2, 1, 4, 0, 2, 1400, 0, 400
104, 0, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
105, 3, 1, 1, 3, 2, 4, 0, 0, 1400, 0, 0
106, 0, 0, 0, 2, 1, 2, 2, 0, 700, 100, 0
107, 3, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
108, 3, 2, 2, 1, 1, 4, 0, 0, 1400, 0, 0
109, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
110, 3, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
111, 2, 1, 2, 3, 0, 3, 1, 0, 1050, 50, 0
112, 3, 2, 1, 2, 4, 4, 0, 1, 1400, 0, 200
113, 3, 1, 2, 1, 3, 4, 0, 2, 1400, 0, 400
114, 3, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
115, 2, 1, 3, 2, 1, 4, 0, 0, 1400, 0, 0
116, 2, 3, 2, 1, 2, 4, 0, 0, 1400, 0, 0
117, 3, 2, 1, 2, 1, 4, 0, 2, 1400, 0, 400
118, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
119, 4, 3, 2, 2, 1, 4, 0, 1, 1400, 0, 200
120, 1, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
121, 3, 1, 2, 4, 1, 4, 0, 0, 1400, 0, 0
122, 1, 1, 1, 3, 0, 3, 1, 0, 1050, 50, 0
123, 2, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
124, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
125, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
126, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
127, 4, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
128, 3, 1, 1, 4, 1, 4, 0, 1, 1400, 0, 200
129, 1, 4, 0, 3, 0, 2, 2, 0, 700, 100, 0
130, 2, 3, 2, 2, 2, 4, 0, 0, 1400, 0, 0
131, 1, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
132, 3, 1, 2, 1, 2, 4, 0, 0, 1400, 0, 0
133, 3, 2, 1, 3, 1, 4, 0, 1, 1400, 0, 200
134, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
135, 2, 4, 1, 1, 0, 3, 1, 0, 1050, 50, 0
136, 4, 3, 2, 3, 3, 4, 0, 1, 1400, 0, 200
137, 1, 2, 1, 2, 2, 4, 0, 1, 1400, 0, 200
138, 2, 1, 3, 1, 1, 4, 0, 1, 1400, 0, 200
139, 2, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
140, 3, 1, 1, 4, 2, 4, 0, 1, 1400, 0, 200
141, 3, 2, 4, 3, 1, 4, 0, 1, 1400, 0, 200
142, 4, 1, 3, 2, 4, 4, 0, 3, 1400, 0, 600
143, 2, 1, 2, 1, 3, 4, 0, 1, 1400, 0, 200
144, 4, 4, 1, 1, 2, 4, 0, 2, 1400, 0, 400
145, 3, 3, 1, 2, 1, 4, 0, 1, 1400, 0, 200
146, 3, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
147, 2, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
148, 3, 4, 1, 2, 1, 4, 0, 0, 1400, 0, 0
149, 0, 3, 0, 1, 0, 2, 2, 0, 700, 100, 0
150, 2, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
151, 2, 1, 1, 1, 4, 4, 0, 0, 1400, 0, 0
152, 1, 4, 0, 0, 3, 2, 2, 0, 700, 100, 0
153, 0, 3, 0, 0, 2, 2, 2, 0, 700, 100, 0
154, 1, 2, 3, 0, 1, 3, 1, 0, 1050, 50, 0
155, 4, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
156, 0, 0, 1, 0, 1, 2, 2, 0, 700, 100, 0
157, 3, 3, 1, 1, 0, 3, 1, 0, 1050, 50, 0
158, 3, 2, 3, 1, 4, 4, 0, 0, 1400, 0, 0
159, 3, 1, 2, 4, 3, 4, 0, 2, 1400, 0, 400
160, 3, 1, 1, 3, 2, 4, 0, 2, 1400, 0, 400
161, 4, 2, 1, 2, 1, 4, 0, 2, 1400, 0, 400
162, 4, 1, 3, 1, 3, 4, 0, 2, 1400, 0, 400
163, 3, 3, 2, 1, 2, 4, 0, 1, 1400, 0, 200
164, 2, 2, 1, 2, 1, 4, 0, 1, 1400, 0, 200
165, 2, 1, 4, 1, 2, 4, 0, 0, 1400, 0, 0
166, 2, 1, 3, 2, 1, 4, 0, 0, 1400, 0, 0
167, 2, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
168, 1, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
169, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
170, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
171, 2, 1, 3, 0, 0, 2, 2, 0, 700, 100, 0
172, 3, 2, 2, 1, 3, 4, 0, 0, 1400, 0, 0
173, 3, 1, 1, 3, 2, 4, 0, 2, 1400, 0, 400
174, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
175, 4, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
176, 1, 1, 3, 0, 1, 3, 1, 0, 1050, 50, 0
177, 4, 4, 2, 2, 1, 4, 0, 1, 1400, 0, 200
178, 4, 3, 1, 1, 1, 4, 0, 3, 1400, 0, 600
179, 3, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
180, 4, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
181, 3, 2, 4, 3, 0, 3, 1, 0, 1050, 50, 0
182, 3, 1, 3, 2, 1, 4, 0, 2, 1400, 0, 400
183, 3, 1, 2, 1, 4, 4, 0, 1, 1400, 0, 200
184, 2, 2, 1, 1, 3, 4, 0, 0, 1400, 0, 0
185, 1, 1, 3, 0, 2, 3, 1, 0, 1050, 50, 0
186, 3, 2, 2, 1, 1, 4, 0, 1, 1400, 0, 200
187, 3, 1, 1, 3, 3, 4, 0, 1, 1400, 0, 200
188, 2, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
189, 4, 2, 4, 1, 1, 4, 0, 2, 1400, 0, 400
190, 4, 1, 3, 2, 3, 4, 0, 2, 1400, 0, 400
191, 4, 2, 2, 1, 2, 4, 0, 3, 1400, 0, 600
192, 4, 1, 1, 2, 1, 4, 0, 3, 1400, 0, 600
193, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
194, 3, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
195, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
196, 2, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
197, 3, 1, 1, 2, 4, 4, 0, 1, 1400, 0, 200
198, 2, 3, 1, 1, 3, 4, 0, 0, 1400, 0, 0
199, 2, 2, 3, 1, 2, 4, 0, 0, 1400, 0, 0
200, 4, 1, 2, 3, 1, 4, 0, 3, 1400, 0, 600
201, 2, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
202, 2, 3, 3, 1, 1, 4, 0, 0, 1400, 0, 0
203, 4, 2, 2, 3, 1, 4, 0, 2, 1400, 0, 400
204, 1, 1, 1, 2, 3, 4, 0, 0, 1400, 0, 0
205, 4, 1, 4, 1, 2, 4, 0, 2, 1400, 0, 400
206, 4, 3, 3, 1, 1, 4, 0, 2, 1400, 0, 400
207, 4, 2, 2, 2, 2, 4, 0, 2, 1400, 0, 400
208, 4, 1, 1, 1, 1, 4, 0, 4, 1400, 0, 800
209, 3, 4, 2, 2, 0, 3, 1, 0, 1050, 50, 0
210, 3, 3, 1, 1, 1, 4, 0, 2, 1400, 0, 400
211, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
212, 3, 1, 2, 1, 3, 4, 0, 0, 1400, 0, 0
213, 0, 0, 1, 0, 2, 2, 2, 0, 700, 100, 0
214, 4, 1, 3, 2, 1, 4, 0, 1, 1400, 0, 200
215, 2, 3, 2, 1, 2, 4, 0, 0, 1400, 0, 0
216, 0, 2, 1, 0, 1, 3, 1, 0, 1050, 50, 0
217, 1, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
218, 3, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
219, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
220, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
221, 3, 1, 2, 3, 4, 4, 0, 0, 1400, 0, 0
222, 3, 3, 1, 2, 3, 4, 0, 2, 1400, 0, 400
223, 4, 2, 2, 1, 2, 4, 0, 3, 1400, 0, 600
224, 1, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
225, 4, 4, 2, 1, 2, 4, 0, 0, 1400, 0, 0
226, 2, 3, 1, 1, 1, 4, 0, 1, 1400, 0, 200
227, 3, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
228, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
229, 2, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
230, 4, 1, 4, 4, 1, 4, 0, 0, 1400, 0, 0
231, 4, 2, 3, 3, 1, 4, 0, 2, 1400, 0, 400
232, 1, 1, 2, 2, 2, 4, 0, 0, 1400, 0, 0
233, 2, 4, 1, 1, 1, 4, 0, 1, 1400, 0, 200
234, 4, 3, 3, 1, 1, 4, 0, 1, 1400, 0, 200
235, 4, 2, 2, 2, 2, 4, 0, 2, 1400, 0, 400
236, 2, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
237, 2, 2, 3, 0, 0, 2, 2, 0, 700, 100, 0
238, 3, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
239, 3, 2, 1, 3, 1, 4, 0, 0, 1400, 0, 0
240, 2, 1, 3, 2, 2, 4, 0, 0, 1400, 0, 0
241, 3, 3, 2, 1, 1, 4, 0, 2, 1400, 0, 400
242, 3, 2, 1, 1, 4, 4, 0, 1, 1400, 0, 200
243, 4, 1, 3, 2, 3, 4, 0, 2, 1400, 0, 400
244, 0, 0, 2, 1, 2, 3, 1, 0, 1050, 50, 0
245, 3, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
246, 2, 1, 1, 3, 0, 3, 1, 0, 1050, 50, 0
247, 4, 1, 3, 2, 2, 4, 0, 1, 1400, 0, 200
248, 4, 2, 2, 1, 1, 4, 0, 3, 1400, 0, 600
249, 3, 1, 1, 2, 3, 4, 0, 1, 1400, 0, 200
250, 0, 0, 0, 1, 2, 2, 2, 0, 700, 100, 0
251, 2, 1, 1, 0, 1, 3, 1, 0, 1050, 50, 0
252, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
253, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
254, 4, 3, 3, 2, 4, 4, 0, 0, 1400, 0, 0
255, 4, 2, 2, 1, 3, 4, 0, 4, 1400, 0, 800
256, 4, 1, 1, 1, 2, 4, 0, 3, 1400, 0, 600
257, 0, 0, 0, 0, 1, 1, 3, 0, 350, 150, 0
258, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
259, 3, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
260, 4, 1, 2, 3, 1, 4, 0, 1, 1400, 0, 200
261, 0, 0, 1, 2, 0, 2, 2, 0, 700, 100, 0
262, 2, 2, 4, 1, 0, 3, 1, 0, 1050, 50, 0
263, 4, 1, 3, 1, 2, 4, 0, 2, 1400, 0, 400
264, 0, 0, 2, 0, 1, 2, 2, 0, 700, 100, 0
265, 2, 2, 1, 2, 0, 3, 1, 0, 1050, 50, 0
266, 3, 1, 4, 1, 3, 4, 0, 1, 1400, 0, 200
267, 3, 3, 3, 2, 2, 4, 0, 1, 1400, 0, 200
268, 3, 2, 2, 1, 1, 4, 0, 3, 1400, 0, 600
269, 2, 1, 1, 2, 3, 4, 0, 0, 1400, 0, 0
270, 0, 0, 0, 1, 2, 2, 2, 0, 700, 100, 0
271, 3, 2, 2, 1, 1, 4, 0, 0, 1400, 0, 0
272, 4, 1, 1, 2, 2, 4, 0, 2, 1400, 0, 400
273, 4, 2, 3, 1, 1, 4, 0, 2, 1400, 0, 400
274, 2, 1, 2, 2, 3, 4, 0, 0, 1400, 0, 0
275, 4, 3, 1, 1, 2, 4, 0, 3, 1400, 0, 600
276, 3, 2, 2, 1, 1, 4, 0, 1, 1400, 0, 200
277, 0, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
278, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
279, 3, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
280, 4, 3, 4, 2, 1, 4, 0, 1, 1400, 0, 200
281, 0, 2, 3, 1, 0, 3, 1, 0, 1050, 50, 0
282, 2, 1, 2, 2, 2, 4, 0, 0, 1400, 0, 0
283, 2, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
284, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
285, 1, 3, 0, 0, 0, 1, 3, 0, 350, 150, 0
286, 2, 2, 2, 2, 0, 3, 1, 0, 1050, 50, 0
287, 1, 1, 1, 1, 4, 4, 0, 0, 1400, 0, 0
288, 4, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
289, 1, 1, 4, 1, 2, 4, 0, 0, 1400, 0, 0
290, 4, 4, 3, 2, 1, 4, 0, 2, 1400, 0, 400
291, 3, 3, 2, 1, 1, 4, 0, 2, 1400, 0, 400
292, 3, 2, 1, 4, 2, 4, 0, 1, 1400, 0, 200
293, 2, 1, 2, 3, 1, 4, 0, 1, 1400, 0, 200
294, 0, 0, 1, 2, 0, 2, 2, 0, 700, 100, 0
295, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
296, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
297, 4, 2, 1, 2, 3, 4, 0, 0, 1400, 0, 0
298, 4, 1, 1, 1, 2, 4, 0, 3, 1400, 0, 600
299, 3, 2, 3, 2, 1, 4, 0, 0, 1400, 0, 0
300, 3, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
301, 2, 2, 1, 4, 1, 4, 0, 0, 1400, 0, 0
302, 4, 1, 3, 3, 2, 4, 0, 2, 1400, 0, 400
303, 3, 2, 2, 2, 1, 4, 0, 2, 1400, 0, 400
304, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
305, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
306, 0, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
307, 4, 1, 1, 1, 4, 4, 0, 0, 1400, 0, 0
308, 2, 2, 2, 0, 3, 3, 1, 0, 1050, 50, 0
309, 1, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
310, 3, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
311, 3, 1, 3, 1, 4, 4, 0, 0, 1400, 0, 0
312, 1, 3, 2, 0, 3, 3, 1, 0, 1050, 50, 0
313, 1, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
314, 2, 1, 1, 4, 1, 4, 0, 0, 1400, 0, 0
315, 4, 1, 1, 3, 3, 4, 0, 1, 1400, 0, 200
316, 2, 1, 3, 2, 2, 4, 0, 0, 1400, 0, 0
317, 0, 0, 2, 1, 1, 3, 1, 0, 1050, 50, 0
318, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
319, 2, 1, 3, 1, 0, 3, 1, 0, 1050, 50, 0
320, 4, 1, 2, 2, 2, 4, 0, 1, 1400, 0, 200
321, 1, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
322, 2, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
323, 4, 4, 1, 4, 2, 4, 0, 1, 1400, 0, 200
324, 3, 3, 2, 3, 1, 4, 0, 2, 1400, 0, 400
325, 4, 2, 1, 2, 3, 4, 0, 3, 1400, 0, 600
326, 4, 1, 2, 1, 2, 4, 0, 3, 1400, 0, 600
327, 2, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
328, 3, 2, 1, 4, 0, 3, 1, 0, 1050, 50, 0
329, 3, 1, 1, 3, 1, 4, 0, 1, 1400, 0, 200
330, 1, 4, 0, 2, 0, 2, 2, 0, 700, 100, 0
331, 4, 3, 2, 1, 4, 4, 0, 2, 1400, 0, 400
332, 2, 2, 1, 1, 3, 4, 0, 1, 1400, 0, 200
333, 3, 1, 1, 1, 2, 4, 0, 1, 1400, 0, 200
334, 3, 4, 3, 2, 1, 4, 0, 0, 1400, 0, 0
335, 3, 3, 2, 1, 1, 4, 0, 2, 1400, 0, 400
336, 2, 2, 1, 3, 4, 4, 0, 0, 1400, 0, 0
337, 0, 1, 0, 2, 3, 3, 1, 0, 1050, 50, 0
338, 3, 2, 4, 1, 2, 4, 0, 1, 1400, 0, 200
339, 0, 1, 3, 0, 1, 3, 1, 0, 1050, 50, 0
340, 4, 3, 2, 3, 1, 4, 0, 1, 1400, 0, 200
341, 2, 2, 1, 2, 1, 4, 0, 1, 1400, 0, 200
342, 4, 1, 2, 1, 1, 4, 0, 2, 1400, 0, 400
343, 3, 4, 1, 1, 1, 4, 0, 0, 1400, 0, 0
344, 2, 3, 2, 4, 0, 3, 1, 0, 1050, 50, 0
345, 4, 2, 1, 3, 2, 4, 0, 3, 1400, 0, 600
346, 3, 1, 2, 2, 1, 4, 0, 2, 1400, 0, 400
347, 2, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
348, 2, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
349, 4, 3, 4, 1, 2, 4, 0, 1, 1400, 0, 200
350, 2, 2, 3, 1, 1, 4, 0, 1, 1400, 0, 200
351, 4, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
352, 3, 3, 1, 2, 1, 4, 0, 1, 1400, 0, 200
353, 4, 2, 3, 1, 1, 4, 0, 2, 1400, 0, 400
354, 1, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
355, 4, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
356, 2, 3, 2, 0, 0, 2, 2, 0, 700, 100, 0
357, 4, 2, 1, 1, 1, 4, 0, 2, 1400, 0, 400
358, 1, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
359, 3, 2, 1, 3, 2, 4, 0, 0, 1400, 0, 0
360, 3, 1, 2, 2, 1, 4, 0, 2, 1400, 0, 400
361, 4, 2, 1, 1, 4, 4, 0, 2, 1400, 0, 400
362, 3, 1, 1, 2, 3, 4, 0, 1, 1400, 0, 200
363, 4, 2, 4, 1, 2, 4, 0, 2, 1400, 0, 400
364, 1, 1, 3, 1, 1, 4, 0, 0, 1400, 0, 0
365, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
