days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 2, 1, 0, 3, 350, 0, 600
2, 0, 1, 1, 0, 0, 350, 0, 0
3, 0, 0, 0, 1, 0, 0, 50, 0
4, 4, 4, 1, 0, 3, 350, 0, 600
5, 0, 3, 1, 0, 0, 350, 0, 0
6, 0, 2, 1, 0, 0, 350, 0, 0
7, 1, 1, 1, 0, 1, 350, 0, 200
8, 1, 1, 1, 0, 0, 350, 0, 0
9, 1, 3, 1, 0, 0, 350, 0, 0
10, 1, 2, 1, 0, 1, 350, 0, 200
11, 2, 1, 1, 0, 2, 350, 0, 400
12, 4, 2, 1, 0, 3, 350, 0, 600
13, 0, 1, 1, 0, 0, 350, 0, 0
14, 3, 3, 1, 0, 2, 350, 0, 400
15, 2, 2, 1, 0, 2, 350, 0, 400
16, 2, 1, 1, 0, 2, 350, 0, 400
17, 3, 2, 1, 0, 2, 350, 0, 400
18, 4, 1, 1, 0, 4, 350, 0, 800
19, 2, 4, 1, 0, 1, 350, 0, 200
20, 3, 3, 1, 0, 3, 350, 0, 600
21, 3, 2, 1, 0, 3, 350, 0, 600
22, 2, 1, 1, 0, 2, 350, 0, 400
23, 0, 0, 0, 1, 0, 0, 50, 0
24, 2, 1, 1, 0, 1, 350, 0, 200
25, 0, 0, 0, 1, 0, 0, 50, 0
26, 3, 2, 1, 0, 2, 350, 0, 400
27, 0, 1, 1, 0, 0, 350, 0, 0
28, 2, 1, 1, 0, 1, 350, 0, 200
29, 1, 1, 1, 0, 0, 350, 0, 0
30, 1, 1, 1, 0, 0, 350, 0, 0
31, 3, 3, 1, 0, 2, 350, 0, 400
32, 2, 2, 1, 0, 2, 350, 0, 400
33, 4, 1, 1, 0, 4, 350, 0, 800
34, 2, 1, 1, 0, 1, 350, 0, 200
35, 1, 1, 1, 0, 0, 350, 0, 0
36, 4, 2, 1, 0, 3, 350, 0, 600
37, 4, 1, 1, 0, 4, 350, 0, 800
38, 4, 2, 1, 0, 3, 350, 0, 600
39, 4, 1, 1, 0, 4, 350, 0, 800
40, 4, 2, 1, 0, 3, 350, 0, 600
41, 4, 1, 1, 0, 4, 350, 0, 800
42, 3, 2, 1, 0, 2, 350, 0, 400
43, 4, 1, 1, 0, 4, 350, 0, 800
44, 4, 2, 1, 0, 3, 350, 0, 600
45, 3, 1, 1, 0, 3, 350, 0, 600
46, 3, 2, 1, 0, 2, 350, 0, 400
47, 2, 1, 1, 0, 2, 350, 0, 400
48, 4, 2, 1, 0, 3, 350, 0, 600
49, 1, 1, 1, 0, 1, 350, 0, 200
50, 4, 1, 1, 0, 3, 350, 0, 600
51, 2, 4, 1, 0, 1, 350, 0, 200
52, 3, 3, 1, 0, 3, 350, 0, 600
53, 1, 2, 1, 0, 1, 350, 0, 200
54, 2, 1, 1, 0, 2, 350, 0, 400
55, 2, 1, 1, 0, 1, 350, 0, 200
56, 2, 2, 1, 0, 1, 350, 0, 200
57, 4, 1, 1, 0, 4, 350, 0, 800
58, 1, 2, 1, 0, 0, 350, 0, 0
59, 1, 1, 1, 0, 1, 350, 0, 200
60, 3, 2, 1, 0, 2, 350, 0, 400
61, 0, 1, 1, 0, 0, 350, 0, 0
62, 1, 2, 1, 0, 0, 350, 0, 0
63, 3, 1, 1, 0, 3, 350, 0, 600
64, 2, 2, 1, 0, 1, 350, 0, 200
65, 3, 1, 1, 0, 3, 350, 0, 600
66, 2, 1, 1, 0, 1, 350, 0, 200
67, 4, 2, 1, 0, 3, 350, 0, 600
68, 2, 1, 1, 0, 2, 350, 0, 400
69, 4, 1, 1, 0, 3, 350, 0, 600
70, 2, 4, 1, 0, 1, 350, 0, 200
71, 2, 3, 1, 0, 2, 350, 0, 400
72, 1, 2, 1, 0, 1, 350, 0, 200
73, 2, 1, 1, 0, 2, 350, 0, 400
74, 2, 2, 1, 0, 1, 350, 0, 200
75, 2, 1, 1, 0, 2, 350, 0, 400
76, 4, 1, 1, 0, 3, 350, 0, 600
77, 4, 3, 1, 0, 3, 350, 0, 600
78, 2, 2, 1, 0, 2, 350, 0, 400
79, 4, 1, 1, 0, 4, 350, 0, 800
80, 2, 2, 1, 0, 1, 350, 0, 200
81, 0, 1, 1, 0, 0, 350, 0, 0
82, 3, 2, 1, 0, 2, 350, 0, 400
83, 0, 1, 1, 0, 0, 350, 0, 0
84, 4, 3, 1, 0, 3, 350, 0, 600
85, 2, 2, 1, 0, 2, 350, 0, 400
86, 3, 1, 1, 0, 3, 350, 0, 600
87, 2, 2, 1, 0, 1, 350, 0, 200
88, 2, 1, 1, 0, 2, 350, 0, 400
89, 4, 2, 1, 0, 3, 350, 0, 600
90, 3, 1, 1, 0, 3, 350, 0, 600
91, 1, 1, 1, 0, 0, 350, 0, 0
92, 1, 2, 1, 0, 0, 350, 0, 0
93, 3, 1, 1, 0, 3, 350, 0, 600
94, 3, 2, 1, 0, 2, 350, 0, 400
95, 2, 1, 1, 0, 2, 350, 0, 400
96, 4, 1, 1, 0, 3, 350, 0, 600
97, 4, 1, 1, 0, 3, 350, 0, 600
98, 4, 1, 1, 0, 3, 350, 0, 600
99, 1, 2, 1, 0, 0, 350, 0, 0
100, 2, 1, 1, 0, 2, 350, 0, 400
101, 4, 2, 1, 0, 3, 350, 0, 600
102, 2, 1, 1, 0, 2, 350, 0, 400
103, 4, 1, 1, 0, 3, 350, 0, 600
104, 2, 1, 1, 0, 1, 350, 0, 200
105, 3, 3, 1, 0, 2, 350, 0, 400
106, 0, 2, 1, 0, 0, 350, 0, 0
107, 4, 1, 1, 0, 4, 350, 0, 800
108, 4, 2, 1, 0, 3, 350, 0, 600
109, 2, 1, 1, 0, 2, 350, 0, 400
110, 4, 1, 1, 0, 3, 350, 0, 600
111, 3, 2, 1, 0, 2, 350, 0, 400
112, 3, 1, 1, 0, 3, 350, 0, 600
113, 2, 2, 1, 0, 1, 350, 0, 200
114, 4, 1, 1, 0, 4, 350, 0, 800
115, 2, 2, 1, 0, 1, 350, 0, 200
116, 4, 1, 1, 0, 4, 350, 0, 800
117, 3, 3, 1, 0, 2, 350, 0, 400
118, 2, 2, 1, 0, 2, 350, 0, 400
