days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 2, 1, 0, 2, 1, 0, 700, 50, 0
2, 2, 1, 3, 3, 3, 0, 0, 1050, 0, 0
3, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
4, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
5, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
6, 4, 2, 3, 1, 3, 0, 2, 1050, 0, 400
7, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
8, 2, 1, 1, 4, 3, 0, 0, 1050, 0, 0
9, 0, 0, 0, 3, 1, 2, 0, 350, 100, 0
10, 3, 1, 3, 2, 3, 0, 1, 1050, 0, 200
11, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
12, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
13, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
14, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
15, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
16, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
17, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
18, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
19, 2, 2, 1, 4, 3, 0, 0, 1050, 0, 0
20, 4, 1, 2, 3, 3, 0, 3, 1050, 0, 600
21, 2, 4, 1, 2, 3, 0, 1, 1050, 0, 200
22, 3, 3, 1, 1, 3, 0, 2, 1050, 0, 400
23, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
24, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
25, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
26, 3, 3, 4, 1, 3, 0, 0, 1050, 0, 0
27, 2, 2, 3, 1, 3, 0, 1, 1050, 0, 200
28, 3, 1, 2, 4, 3, 0, 2, 1050, 0, 400
29, 4, 1, 1, 3, 3, 0, 3, 1050, 0, 600
30, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
31, 4, 2, 1, 1, 3, 0, 2, 1050, 0, 400
32, 2, 1, 2, 2, 3, 0, 0, 1050, 0, 0
33, 1, 3, 1, 1, 3, 0, 0, 1050, 0, 0
34, 2, 2, 1, 3, 3, 0, 0, 1050, 0, 0
35, 2, 1, 2, 2, 3, 0, 1, 1050, 0, 200
36, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
37, 2, 1, 3, 2, 3, 0, 0, 1050, 0, 0
38, 2, 3, 2, 1, 3, 0, 1, 1050, 0, 200
39, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
40, 4, 1, 2, 4, 3, 0, 2, 1050, 0, 400
41, 4, 2, 1, 3, 3, 0, 3, 1050, 0, 600
42, 1, 1, 2, 2, 3, 0, 0, 1050, 0, 0
43, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
44, 2, 1, 2, 4, 3, 0, 0, 1050, 0, 0
45, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
46, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
47, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
48, 2, 2, 1, 0, 2, 1, 0, 700, 50, 0
49, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
50, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
51, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
52, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
53, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
54, 3, 2, 1, 3, 3, 0, 1, 1050, 0, 200
55, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
56, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
57, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
58, 4, 2, 3, 1, 3, 0, 2, 1050, 0, 400
59, 3, 1, 2, 3, 3, 0, 2, 1050, 0, 400
60, 1, 3, 1, 2, 3, 0, 0, 1050, 0, 0
61, 1, 2, 4, 1, 3, 0, 0, 1050, 0, 0
62, 4, 1, 3, 1, 3, 0, 3, 1050, 0, 600
63, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
64, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
65, 2, 4, 4, 1, 3, 0, 0, 1050, 0, 0
66, 2, 3, 3, 1, 3, 0, 1, 1050, 0, 200
67, 2, 2, 2, 1, 3, 0, 1, 1050, 0, 200
68, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
69, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
70, 4, 1, 2, 3, 3, 0, 1, 1050, 0, 200
71, 0, 0, 1, 2, 2, 1, 0, 700, 50, 0
72, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
73, 3, 2, 2, 4, 3, 0, 0, 1050, 0, 0
74, 1, 1, 1, 3, 3, 0, 1, 1050, 0, 200
75, 4, 4, 3, 2, 3, 0, 2, 1050, 0, 400
76, 3, 3, 2, 1, 3, 0, 3, 1050, 0, 600
77, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
78, 2, 1, 4, 1, 3, 0, 1, 1050, 0, 200
79, 1, 1, 3, 0, 2, 1, 0, 700, 50, 0
80, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
81, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
82, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
83, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
84, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
85, 2, 3, 2, 2, 3, 0, 0, 1050, 0, 0
86, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
87, 4, 1, 3, 1, 3, 0, 2, 1050, 0, 400
88, 2, 2, 2, 4, 3, 0, 0, 1050, 0, 0
89, 3, 1, 1, 3, 3, 0, 3, 1050, 0, 600
90, 3, 3, 2, 2, 3, 0, 1, 1050, 0, 200
91, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
92, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
93, 1, 4, 0, 0, 1, 2, 0, 350, 100, 0
94, 3, 3, 1, 2, 3, 0, 1, 1050, 0, 200
95, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
96, 2, 1, 3, 1, 3, 0, 0, 1050, 0, 0
97, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
98, 4, 3, 1, 2, 3, 0, 2, 1050, 0, 400
99, 2, 2, 2, 1, 3, 0, 1, 1050, 0, 200
100, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
101, 4, 3, 4, 1, 3, 0, 2, 1050, 0, 400
102, 3, 2, 3, 2, 3, 0, 2, 1050, 0, 400
103, 4, 1, 2, 1, 3, 0, 4, 1050, 0, 800
104, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
105, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
106, 2, 3, 3, 0, 2, 1, 0, 700, 50, 0
107, 3, 2, 2, 2, 3, 0, 2, 1050, 0, 400
108, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
109, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
110, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
111, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
112, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
113, 4, 3, 1, 1, 3, 0, 2, 1050, 0, 400
114, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
115, 4, 1, 1, 3, 3, 0, 2, 1050, 0, 400
116, 0, 0, 0, 2, 1, 2, 0, 350, 100, 0
117, 3, 3, 3, 1, 3, 0, 1, 1050, 0, 200
118, 2, 2, 2, 2, 3, 0, 1, 1050, 0, 200
119, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
120, 4, 2, 2, 4, 3, 0, 1, 1050, 0, 200
121, 2, 1, 1, 3, 3, 0, 2, 1050, 0, 400
122, 4, 1, 1, 2, 3, 0, 2, 1050, 0, 400
123, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
124, 4, 1, 1, 4, 3, 0, 1, 1050, 0, 200
125, 3, 3, 2, 3, 3, 0, 1, 1050, 0, 200
126, 1, 2, 1, 2, 3, 0, 1, 1050, 0, 200
127, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
