days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
2, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
3, 4, 1, 2, 2, 4, 4, 0, 1, 1400, 0, 200
4, 2, 1, 1, 1, 3, 4, 0, 1, 1400, 0, 200
5, 0, 0, 0, 0, 2, 1, 3, 0, 350, 150, 0
6, 3, 1, 2, 3, 1, 4, 0, 0, 1400, 0, 0
7, 4, 2, 1, 2, 2, 4, 0, 2, 1400, 0, 400
8, 4, 1, 3, 1, 1, 4, 0, 3, 1400, 0, 600
9, 2, 2, 2, 4, 0, 3, 1, 0, 1050, 50, 0
10, 2, 1, 1, 3, 3, 4, 0, 1, 1400, 0, 200
11, 4, 2, 2, 2, 2, 4, 0, 2, 1400, 0, 400
12, 4, 1, 1, 1, 1, 4, 0, 4, 1400, 0, 800
13, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
14, 4, 2, 1, 3, 2, 4, 0, 0, 1400, 0, 0
15, 4, 1, 2, 2, 1, 4, 0, 3, 1400, 0, 600
16, 3, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
17, 4, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
18, 3, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
19, 3, 2, 3, 1, 0, 3, 1, 0, 1050, 50, 0
20, 3, 1, 2, 1, 3, 4, 0, 1, 1400, 0, 200
21, 3, 4, 1, 3, 2, 4, 0, 1, 1400, 0, 200
22, 3, 3, 1, 2, 1, 4, 0, 2, 1400, 0, 400
23, 3, 2, 3, 1, 3, 4, 0, 1, 1400, 0, 200
24, 3, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
25, 2, 3, 1, 1, 1, 4, 0, 0, 1400, 0, 0
26, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
27, 3, 1, 2, 4, 1, 4, 0, 0, 1400, 0, 0
28, 4, 2, 1, 3, 2, 4, 0, 2, 1400, 0, 400
29, 1, 1, 3, 2, 1, 4, 0, 0, 1400, 0, 0
30, 3, 3, 2, 1, 2, 4, 0, 1, 1400, 0, 200
31, 1, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
32, 3, 1, 2, 2, 1, 4, 0, 0, 1400, 0, 0
33, 2, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
34, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
35, 2, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
36, 3, 1, 1, 3, 1, 4, 0, 1, 1400, 0, 200
37, 2, 1, 2, 2, 0, 3, 1, 0, 1050, 50, 0
38, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
39, 4, 3, 1, 3, 1, 4, 0, 0, 1400, 0, 0
40, 2, 2, 2, 2, 4, 4, 0, 0, 1400, 0, 0
41, 2, 1, 1, 1, 3, 4, 0, 2, 1400, 0, 400
42, 4, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
43, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
44, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
