days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 3, 0, 0, 3, 0, 0, 600
2, 2, 0, 0, 2, 0, 0, 400
3, 4, 0, 0, 4, 0, 0, 800
4, 1, 0, 0, 1, 0, 0, 200
5, 3, 0, 0, 3, 0, 0, 600
6, 3, 0, 0, 3, 0, 0, 600
7, 3, 0, 0, 3, 0, 0, 600
8, 3, 0, 0, 3, 0, 0, 600
9, 4, 0, 0, 4, 0, 0, 800
10, 2, 0, 0, 2, 0, 0, 400
11, 0, 0, 0, 0, 0, 0, 0
12, 1, 0, 0, 1, 0, 0, 200
13, 1, 0, 0, 1, 0, 0, 200
14, 3, 0, 0, 3, 0, 0, 600
15, 4, 0, 0, 4, 0, 0, 800
16, 0, 0, 0, 0, 0, 0, 0
17, 1, 0, 0, 1, 0, 0, 200
18, 2, 0, 0, 2, 0, 0, 400
19, 4, 0, 0, 4, 0, 0, 800
20, 4, 0, 0, 4, 0, 0, 800
21, 3, 0, 0, 3, 0, 0, 600
22, 3, 0, 0, 3, 0, 0, 600
23, 0, 0, 0, 0, 0, 0, 0
24, 3, 0, 0, 3, 0, 0, 600
25, 3, 0, 0, 3, 0, 0, 600
26, 3, 0, 0, 3, 0, 0, 600
27, 3, 0, 0, 3, 0, 0, 600
28, 4, 0, 0, 4, 0, 0, 800
29, 1, 0, 0, 1, 0, 0, 200
30, 1, 0, 0, 1, 0, 0, 200
31, 2, 0, 0, 2, 0, 0, 400
32, 3, 0, 0, 3, 0, 0, 600
33, 4, 0, 0, 4, 0, 0, 800
34, 1, 0, 0, 1, 0, 0, 200
35, 2, 0, 0, 2, 0, 0, 400
36, 4, 0, 0, 4, 0, 0, 800
37, 3, 0, 0, 3, 0, 0, 600
38, 4, 0, 0, 4, 0, 0, 800
39, 4, 0, 0, 4, 0, 0, 800
40, 3, 0, 0, 3, 0, 0, 600
41, 2, 0, 0, 2, 0, 0, 400
42, 4, 0, 0, 4, 0, 0, 800
43, 0, 0, 0, 0, 0, 0, 0
44, 3, 0, 0, 3, 0, 0, 600
45, 4, 0, 0, 4, 0, 0, 800
46, 2, 0, 0, 2, 0, 0, 400
47, 3, 0, 0, 3, 0, 0, 600
48, 3, 0, 0, 3, 0, 0, 600
49, 4, 0, 0, 4, 0, 0, 800
50, 2, 0, 0, 2, 0, 0, 400
51, 2, 0, 0, 2, 0, 0, 400
52, 0, 0, 0, 0, 0, 0, 0
53, 4, 0, 0, 4, 0, 0, 800
54, 3, 0, 0, 3, 0, 0, 600
55, 4, 0, 0, 4, 0, 0, 800
56, 2, 0, 0, 2, 0, 0, 400
57, 3, 0, 0, 3, 0, 0, 600
58, 3, 0, 0, 3, 0, 0, 600
59, 2, 0, 0, 2, 0, 0, 400
60, 3, 0, 0, 3, 0, 0, 600
61, 4, 0, 0, 4, 0, 0, 800
62, 4, 0, 0, 4, 0, 0, 800
63, 3, 0, 0, 3, 0, 0, 600
64, 2, 0, 0, 2, 0, 0, 400
65, 3, 0, 0, 3, 0, 0, 600
66, 2, 0, 0, 2, 0, 0, 400
67, 0, 0, 0, 0, 0, 0, 0
68, 4, 0, 0, 4, 0, 0, 800
69, 4, 0, 0, 4, 0, 0, 800
70, 0, 0, 0, 0, 0, 0, 0
71, 4, 0, 0, 4, 0, 0, 800
72, 2, 0, 0, 2, 0, 0, 400
73, 1, 0, 0, 1, 0, 0, 200
74, 4, 0, 0, 4, 0, 0, 800
75, 1, 0, 0, 1, 0, 0, 200
76, 4, 0, 0, 4, 0, 0, 800
77, 2, 0, 0, 2, 0, 0, 400
78, 1, 0, 0, 1, 0, 0, 200
79, 3, 0, 0, 3, 0, 0, 600
80, 3, 0, 0, 3, 0, 0, 600
81, 0, 0, 0, 0, 0, 0, 0
82, 3, 0, 0, 3, 0, 0, 600
83, 4, 0, 0, 4, 0, 0, 800
84, 2, 0, 0, 2, 0, 0, 400
85, 4, 0, 0, 4, 0, 0, 800
86, 0, 0, 0, 0, 0, 0, 0
87, 4, 0, 0, 4, 0, 0, 800
88, 4, 0, 0, 4, 0, 0, 800
89, 0, 0, 0, 0, 0, 0, 0
90, 3, 0, 0, 3, 0, 0, 600
91, 2, 0, 0, 2, 0, 0, 400
92, 1, 0, 0, 1, 0, 0, 200
93, 1, 0, 0, 1, 0, 0, 200
94, 3, 0, 0, 3, 0, 0, 600
95, 3, 0, 0, 3, 0, 0, 600
96, 4, 0, 0, 4, 0, 0, 800
97, 3, 0, 0, 3, 0, 0, 600
98, 4, 0, 0, 4, 0, 0, 800
99, 3, 0, 0, 3, 0, 0, 600
100, 3, 0, 0, 3, 0, 0, 600
101, 3, 0, 0, 3, 0, 0, 600
102, 2, 0, 0, 2, 0, 0, 400
103, 2, 0, 0, 2, 0, 0, 400
104, 4, 0, 0, 4, 0, 0, 800
105, 3, 0, 0, 3, 0, 0, 600
106, 0, 0, 0, 0, 0, 0, 0
107, 2, 0, 0, 2, 0, 0, 400
108, 2, 0, 0, 2, 0, 0, 400
109, 3, 0, 0, 3, 0, 0, 600
110, 4, 0, 0, 4, 0, 0, 800
111, 2, 0, 0, 2, 0, 0, 400
112, 4, 0, 0, 4, 0, 0, 800
113, 4, 0, 0, 4, 0, 0, 800
114, 3, 0, 0, 3, 0, 0, 600
115, 3, 0, 0, 3, 0, 0, 600
116, 4, 0, 0, 4, 0, 0, 800
117, 4, 0, 0, 4, 0, 0, 800
118, 4, 0, 0, 4, 0, 0, 800
119, 4, 0, 0, 4, 0, 0, 800
120, 4, 0, 0, 4, 0, 0, 800
121, 3, 0, 0, 3, 0, 0, 600
122, 1, 0, 0, 1, 0, 0, 200
123, 3, 0, 0, 3, 0, 0, 600
124, 3, 0, 0, 3, 0, 0, 600
125, 0, 0, 0, 0, 0, 0, 0
126, 2, 0, 0, 2, 0, 0, 400
127, 1, 0, 0, 1, 0, 0, 200
128, 3, 0, 0, 3, 0, 0, 600
129, 0, 0, 0, 0, 0, 0, 0
130, 2, 0, 0, 2, 0, 0, 400
