days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
138, 3, 0, 0, 3, 0, 0, 600
139, 0, 0, 0, 0, 0, 0, 0
140, 2, 0, 0, 2, 0, 0, 400
141, 4, 0, 0, 4, 0, 0, 800
142, 2, 0, 0, 2, 0, 0, 400
143, 4, 0, 0, 4, 0, 0, 800
144, 3, 0, 0, 3, 0, 0, 600
145, 4, 0, 0, 4, 0, 0, 800
146, 3, 0, 0, 3, 0, 0, 600
147, 4, 0, 0, 4, 0, 0, 800
148, 4, 0, 0, 4, 0, 0, 800
149, 4, 0, 0, 4, 0, 0, 800
150, 3, 0, 0, 3, 0, 0, 600
151, 4, 0, 0, 4, 0, 0, 800
152, 2, 0, 0, 2, 0, 0, 400
153, 4, 0, 0, 4, 0, 0, 800
154, 4, 0, 0, 4, 0, 0, 800
155, 0, 0, 0, 0, 0, 0, 0
156, 0, 0, 0, 0, 0, 0, 0
157, 4, 0, 0, 4, 0, 0, 800
158, 3, 0, 0, 3, 0, 0, 600
159, 0, 0, 0, 0, 0, 0, 0
160, 0, 0, 0, 0, 0, 0, 0
161, 4, 0, 0, 4, 0, 0, 800
162, 0, 0, 0, 0, 0, 0, 0
163, 1, 0, 0, 1, 0, 0, 200
164, 3, 0, 0, 3, 0, 0, 600
165, 4, 0, 0, 4, 0, 0, 800
166, 3, 0, 0, 3, 0, 0, 600
167, 3, 0, 0, 3, 0, 0, 600
168, 3, 0, 0, 3, 0, 0, 600
169, 4, 0, 0, 4, 0, 0, 800
170, 0, 0, 0, 0, 0, 0, 0
171, 2, 0, 0, 2, 0, 0, 400
172, 3, 0, 0, 3, 0, 0, 600
173, 4, 0, 0, 4, 0, 0, 800
174, 0, 0, 0, 0, 0, 0, 0
175, 3, 0, 0, 3, 0, 0, 600
176, 2, 0, 0, 2, 0, 0, 400
177, 4, 0, 0, 4, 0, 0, 800
178, 3, 0, 0, 3, 0, 0, 600
179, 3, 0, 0, 3, 0, 0, 600
180, 2, 0, 0, 2, 0, 0, 400
181, 2, 0, 0, 2, 0, 0, 400
182, 4, 0, 0, 4, 0, 0, 800
183, 4, 0, 0, 4, 0, 0, 800
184, 2, 0, 0, 2, 0, 0, 400
185, 2, 0, 0, 2, 0, 0, 400
186, 4, 0, 0, 4, 0, 0, 800
187, 1, 0, 0, 1, 0, 0, 200
188, 0, 0, 0, 0, 0, 0, 0
189, 4, 0, 0, 4, 0, 0, 800
190, 3, 0, 0, 3, 0, 0, 600
191, 2, 0, 0, 2, 0, 0, 400
192, 2, 0, 0, 2, 0, 0, 400
193, 3, 0, 0, 3, 0, 0, 600
194, 3, 0, 0, 3, 0, 0, 600
195, 0, 0, 0, 0, 0, 0, 0
196, 4, 0, 0, 4, 0, 0, 800
197, 3, 0, 0, 3, 0, 0, 600
198, 4, 0, 0, 4, 0, 0, 800
199, 4, 0, 0, 4, 0, 0, 800
200, 3, 0, 0, 3, 0, 0, 600
201, 4, 0, 0, 4, 0, 0, 800
202, 4, 0, 0, 4, 0, 0, 800
203, 0, 0, 0, 0, 0, 0, 0
204, 3, 0, 0, 3, 0, 0, 600
205, 3, 0, 0, 3, 0, 0, 600
206, 4, 0, 0, 4, 0, 0, 800
207, 1, 0, 0, 1, 0, 0, 200
208, 2, 0, 0, 2, 0, 0, 400
209, 1, 0, 0, 1, 0, 0, 200
210, 3, 0, 0, 3, 0, 0, 600
211, 3, 0, 0, 3, 0, 0, 600
212, 2, 0, 0, 2, 0, 0, 400
213, 3, 0, 0, 3, 0, 0, 600
214, 0, 0, 0, 0, 0, 0, 0
215, 2, 0, 0, 2, 0, 0, 400
216, 4, 0, 0, 4, 0, 0, 800
217, 3, 0, 0, 3, 0, 0, 600
218, 2, 0, 0, 2, 0, 0, 400
219, 3, 0, 0, 3, 0, 0, 600
220, 3, 0, 0, 3, 0, 0, 600
221, 4, 0, 0, 4, 0, 0, 800
222, 3, 0, 0, 3, 0, 0, 600
223, 3, 0, 0, 3, 0, 0, 600
224, 2, 0, 0, 2, 0, 0, 400
225, 3, 0, 0, 3, 0, 0, 600
226, 4, 0, 0, 4, 0, 0, 800
227, 1, 0, 0, 1, 0, 0, 200
228, 3, 0, 0, 3, 0, 0, 600
229, 0, 0, 0, 0, 0, 0, 0
230, 1, 0, 0, 1, 0, 0, 200
231, 3, 0, 0, 3, 0, 0, 600
232, 4, 0, 0, 4, 0, 0, 800
233, 3, 0, 0, 3, 0, 0, 600
234, 2, 0, 0, 2, 0, 0, 400
235, 2, 0, 0, 2, 0, 0, 400
236, 0, 0, 0, 0, 0, 0, 0
237, 2, 0, 0, 2, 0, 0, 400
238, 3, 0, 0, 3, 0, 0, 600
239, 3, 0, 0, 3, 0, 0, 600
240, 3, 0, 0, 3, 0, 0, 600
241, 3, 0, 0, 3, 0, 0, 600
242, 0, 0, 0, 0, 0, 0, 0
243, 1, 0, 0, 1, 0, 0, 200
244, 0, 0, 0, 0, 0, 0, 0
245, 4, 0, 0, 4, 0, 0, 800
246, 2, 0, 0, 2, 0, 0, 400
247, 1, 0, 0, 1, 0, 0, 200
248, 2, 0, 0, 2, 0, 0, 400
249, 4, 0, 0, 4, 0, 0, 800
250, 3, 0, 0, 3, 0, 0, 600
251, 2, 0, 0, 2, 0, 0, 400
252, 3, 0, 0, 3, 0, 0, 600
253, 4, 0, 0, 4, 0, 0, 800
254, 4, 0, 0, 4, 0, 0, 800
255, 4, 0, 0, 4, 0, 0, 800
256, 1, 0, 0, 1, 0, 0, 200
257, 4, 0, 0, 4, 0, 0, 800
258, 0, 0, 0, 0, 0, 0, 0
259, 4, 0, 0, 4, 0, 0, 800
260, 4, 0, 0, 4, 0, 0, 800
261, 2, 0, 0, 2, 0, 0, 400
262, 4, 0, 0, 4, 0, 0, 800
263, 4, 0, 0, 4, 0, 0, 800
264, 0, 0, 0, 0, 0, 0, 0
265, 0, 0, 0, 0, 0, 0, 0
266, 4, 0, 0, 4, 0, 0, 800
267, 2, 0, 0, 2, 0, 0, 400
268, 2, 0, 0, 2, 0, 0, 400
269, 4, 0, 0, 4, 0, 0, 800
270, 3, 0, 0, 3, 0, 0, 600
271, 4, 0, 0, 4, 0, 0, 800
272, 3, 0, 0, 3, 0, 0, 600
273, 0, 0, 0, 0, 0, 0, 0
274, 3, 0, 0, 3, 0, 0, 600
275, 4, 0, 0, 4, 0, 0, 800
276, 2, 0, 0, 2, 0, 0, 400
277, 2, 0, 0, 2, 0, 0, 400
278, 4, 0, 0, 4, 0, 0, 800
279, 2, 0, 0, 2, 0, 0, 400
280, 0, 0, 0, 0, 0, 0, 0
281, 0, 0, 0, 0, 0, 0, 0
282, 0, 0, 0, 0, 0, 0, 0
283, 3, 0, 0, 3, 0, 0, 600
284, 2, 0, 0, 2, 0, 0, 400
285, 4, 0, 0, 4, 0, 0, 800
286, 3, 0, 0, 3, 0, 0, 600
287, 3, 0, 0, 3, 0, 0, 600
288, 3, 0, 0, 3, 0, 0, 600
289, 4, 0, 0, 4, 0, 0, 800
290, 0, 0, 0, 0, 0, 0, 0
291, 4, 0, 0, 4, 0, 0, 800
292, 2, 0, 0, 2, 0, 0, 400
293, 3, 0, 0, 3, 0, 0, 600
294, 3, 0, 0, 3, 0, 0, 600
295, 1, 0, 0, 1, 0, 0, 200
296, 0, 0, 0, 0, 0, 0, 0
297, 0, 0, 0, 0, 0, 0, 0
298, 2, 0, 0, 2, 0, 0, 400
299, 2, 0, 0, 2, 0, 0, 400
300, 1, 0, 0, 1, 0, 0, 200
301, 1, 0, 0, 1, 0, 0, 200
302, 3, 0, 0, 3, 0, 0, 600
303, 3, 0, 0, 3, 0, 0, 600
304, 3, 0, 0, 3, 0, 0, 600
305, 3, 0, 0, 3, 0, 0, 600
306, 2, 0, 0, 2, 0, 0, 400
307, 3, 0, 0, 3, 0, 0, 600
308, 3, 0, 0, 3, 0, 0, 600
309, 2, 0, 0, 2, 0, 0, 400
310, 2, 0, 0, 2, 0, 0, 400
311, 0, 0, 0, 0, 0, 0, 0
312, 3, 0, 0, 3, 0, 0, 600
313, 4, 0, 0, 4, 0, 0, 800
314, 4, 0, 0, 4, 0, 0, 800
315, 1, 0, 0, 1, 0, 0, 200
316, 3, 0, 0, 3, 0, 0, 600
317, 1, 0, 0, 1, 0, 0, 200
