purchased_cars, gross_profit, loss_idle, loss_no_rent, loss_total, neto_profit, goal, reached
0, 0, 0, 174400, 174400, -174400, 0, False
1, 120400, 1050, 144200, 145250, -24850, 75000, False
2, 237300, 2600, 116400, 119000, 118300, 150000, False
3, 342300, 5850, 81000, 86850, 255450, 225000, True
4, 431900, 11300, 47600, 58900, 373000, 300000, True
