days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
2, 4, 2, 1, 4, 3, 0, 2, 1050, 0, 400
3, 3, 1, 3, 3, 3, 0, 2, 1050, 0, 400
4, 4, 2, 2, 2, 3, 0, 3, 1050, 0, 600
5, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
6, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
7, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
8, 4, 2, 2, 2, 3, 0, 1, 1050, 0, 200
9, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
10, 2, 2, 1, 0, 2, 1, 0, 700, 50, 0
11, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
12, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
13, 1, 2, 0, 0, 1, 2, 0, 350, 100, 0
14, 3, 1, 3, 3, 3, 0, 1, 1050, 0, 200
15, 1, 2, 2, 2, 3, 0, 0, 1050, 0, 0
16, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
17, 1, 2, 0, 0, 1, 2, 0, 350, 100, 0
18, 4, 1, 3, 2, 3, 0, 2, 1050, 0, 400
19, 3, 3, 2, 1, 3, 0, 2, 1050, 0, 400
20, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
21, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
22, 4, 2, 1, 2, 3, 0, 1, 1050, 0, 200
23, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
24, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
25, 2, 2, 2, 4, 3, 0, 0, 1050, 0, 0
26, 4, 1, 1, 3, 3, 0, 4, 1050, 0, 800
27, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
28, 4, 1, 4, 1, 3, 0, 2, 1050, 0, 400
29, 3, 1, 3, 3, 3, 0, 1, 1050, 0, 200
30, 2, 3, 2, 2, 3, 0, 1, 1050, 0, 200
31, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
32, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
33, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
34, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
35, 1, 1, 0, 1, 2, 1, 0, 700, 50, 0
36, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
37, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
38, 4, 4, 1, 1, 3, 0, 1, 1050, 0, 200
39, 3, 3, 1, 1, 3, 0, 1, 1050, 0, 200
40, 2, 2, 2, 2, 3, 0, 0, 1050, 0, 0
41, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
42, 2, 2, 4, 0, 2, 1, 0, 700, 50, 0
43, 3, 1, 3, 2, 3, 0, 2, 1050, 0, 400
44, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
45, 4, 2, 1, 3, 3, 0, 2, 1050, 0, 400
46, 0, 1, 0, 2, 2, 1, 0, 700, 50, 0
47, 3, 1, 4, 1, 3, 0, 1, 1050, 0, 200
48, 0, 0, 3, 0, 1, 2, 0, 350, 100, 0
49, 1, 3, 2, 0, 2, 1, 0, 700, 50, 0
50, 0, 2, 1, 0, 2, 1, 0, 700, 50, 0
51, 2, 1, 4, 3, 3, 0, 0, 1050, 0, 0
52, 4, 2, 3, 2, 3, 0, 3, 1050, 0, 600
53, 3, 1, 2, 1, 3, 0, 3, 1050, 0, 600
54, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
55, 3, 2, 4, 1, 3, 0, 1, 1050, 0, 200
56, 2, 1, 3, 3, 3, 0, 1, 1050, 0, 200
57, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
58, 2, 3, 1, 1, 3, 0, 1, 1050, 0, 200
59, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
60, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
61, 4, 4, 2, 1, 3, 0, 1, 1050, 0, 200
62, 4, 3, 1, 1, 3, 0, 3, 1050, 0, 600
63, 1, 2, 2, 0, 2, 1, 0, 700, 50, 0
64, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
65, 0, 0, 0, 1, 1, 2, 0, 350, 100, 0
66, 2, 3, 1, 0, 2, 1, 0, 700, 50, 0
67, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
68, 3, 1, 3, 3, 3, 0, 1, 1050, 0, 200
69, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
70, 3, 4, 1, 1, 3, 0, 2, 1050, 0, 400
71, 1, 3, 2, 0, 2, 1, 0, 700, 50, 0
72, 1, 2, 1, 3, 3, 0, 0, 1050, 0, 0
73, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
74, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
75, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
76, 4, 2, 1, 2, 3, 0, 1, 1050, 0, 200
77, 2, 1, 2, 1, 3, 0, 1, 1050, 0, 200
78, 2, 4, 1, 1, 3, 0, 0, 1050, 0, 0
79, 1, 3, 1, 0, 2, 1, 0, 700, 50, 0
80, 3, 2, 4, 2, 3, 0, 1, 1050, 0, 200
81, 4, 1, 3, 1, 3, 0, 4, 1050, 0, 800
82, 4, 3, 2, 1, 3, 0, 2, 1050, 0, 400
83, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
84, 4, 1, 4, 1, 3, 0, 3, 1050, 0, 600
85, 3, 2, 3, 1, 3, 0, 1, 1050, 0, 200
86, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
87, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
88, 4, 2, 2, 2, 3, 0, 1, 1050, 0, 200
89, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
90, 1, 3, 0, 0, 1, 2, 0, 350, 100, 0
91, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
92, 4, 1, 3, 1, 3, 0, 3, 1050, 0, 600
93, 3, 4, 2, 1, 3, 0, 1, 1050, 0, 200
94, 2, 3, 1, 1, 3, 0, 1, 1050, 0, 200
95, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
96, 2, 1, 1, 3, 3, 0, 0, 1050, 0, 0
97, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
98, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
99, 3, 2, 1, 1, 3, 0, 0, 1050, 0, 0
100, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
101, 0, 0, 0, 2, 1, 2, 0, 350, 100, 0
102, 1, 2, 0, 1, 2, 1, 0, 700, 50, 0
103, 4, 1, 2, 3, 3, 0, 2, 1050, 0, 400
104, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
105, 1, 1, 2, 1, 3, 0, 0, 1050, 0, 0
106, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
107, 3, 4, 3, 2, 3, 0, 0, 1050, 0, 0
108, 3, 3, 2, 1, 3, 0, 3, 1050, 0, 600
109, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
110, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
111, 4, 2, 1, 3, 3, 0, 1, 1050, 0, 200
112, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
113, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
114, 3, 1, 4, 3, 3, 0, 1, 1050, 0, 200
115, 4, 1, 3, 2, 3, 0, 3, 1050, 0, 600
116, 4, 2, 2, 1, 3, 0, 3, 1050, 0, 600
117, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
118, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
119, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
120, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
121, 4, 2, 2, 1, 3, 0, 1, 1050, 0, 200
122, 4, 1, 1, 2, 3, 0, 3, 1050, 0, 600
123, 3, 1, 4, 1, 3, 0, 1, 1050, 0, 200
124, 4, 1, 3, 1, 3, 0, 2, 1050, 0, 400
125, 2, 1, 2, 1, 3, 0, 0, 1050, 0, 0
126, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
127, 2, 1, 3, 1, 3, 0, 0, 1050, 0, 0
128, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
129, 4, 3, 1, 2, 3, 0, 2, 1050, 0, 400
130, 2, 2, 3, 1, 3, 0, 1, 1050, 0, 200
131, 2, 1, 2, 3, 3, 0, 1, 1050, 0, 200
132, 1, 2, 1, 2, 3, 0, 0, 1050, 0, 0
133, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
134, 4, 2, 2, 4, 3, 0, 1, 1050, 0, 200
135, 0, 1, 1, 3, 3, 0, 0, 1050, 0, 0
136, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
137, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
138, 3, 1, 1, 3, 3, 0, 0, 1050, 0, 0
139, 1, 2, 0, 2, 2, 1, 0, 700, 50, 0
140, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
141, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
142, 4, 2, 2, 2, 3, 0, 1, 1050, 0, 200
143, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
144, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
145, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
146, 4, 2, 1, 1, 3, 0, 2, 1050, 0, 400
147, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
148, 4, 3, 2, 2, 3, 0, 1, 1050, 0, 200
149, 0, 2, 1, 1, 3, 0, 0, 1050, 0, 0
