days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 1, 2, 1, 0, 0, 350, 0, 0
2, 1, 1, 1, 0, 1, 350, 0, 200
3, 4, 1, 1, 0, 3, 350, 0, 600
4, 3, 1, 1, 0, 2, 350, 0, 400
5, 2, 1, 1, 0, 1, 350, 0, 200
6, 2, 1, 1, 0, 1, 350, 0, 200
7, 4, 2, 1, 0, 3, 350, 0, 600
8, 4, 1, 1, 0, 4, 350, 0, 800
9, 1, 2, 1, 0, 0, 350, 0, 0
10, 2, 1, 1, 0, 2, 350, 0, 400
11, 4, 3, 1, 0, 3, 350, 0, 600
12, 1, 2, 1, 0, 1, 350, 0, 200
13, 4, 1, 1, 0, 4, 350, 0, 800
14, 0, 0, 0, 1, 0, 0, 50, 0
15, 4, 1, 1, 0, 3, 350, 0, 600
16, 2, 2, 1, 0, 1, 350, 0, 200
17, 3, 1, 1, 0, 3, 350, 0, 600
18, 4, 2, 1, 0, 3, 350, 0, 600
19, 3, 1, 1, 0, 3, 350, 0, 600
20, 2, 1, 1, 0, 1, 350, 0, 200
21, 1, 1, 1, 0, 0, 350, 0, 0
22, 2, 1, 1, 0, 1, 350, 0, 200
23, 3, 1, 1, 0, 2, 350, 0, 400
24, 4, 1, 1, 0, 3, 350, 0, 600
25, 3, 1, 1, 0, 2, 350, 0, 400
26, 1, 2, 1, 0, 0, 350, 0, 0
27, 3, 1, 1, 0, 3, 350, 0, 600
28, 2, 1, 1, 0, 1, 350, 0, 200
29, 1, 4, 1, 0, 0, 350, 0, 0
30, 3, 3, 1, 0, 3, 350, 0, 600
31, 2, 2, 1, 0, 2, 350, 0, 400
32, 4, 1, 1, 0, 4, 350, 0, 800
33, 0, 0, 0, 1, 0, 0, 50, 0
34, 2, 2, 1, 0, 1, 350, 0, 200
35, 2, 1, 1, 0, 2, 350, 0, 400
36, 2, 3, 1, 0, 1, 350, 0, 200
37, 3, 2, 1, 0, 3, 350, 0, 600
38, 4, 1, 1, 0, 4, 350, 0, 800
39, 2, 1, 1, 0, 1, 350, 0, 200
40, 4, 3, 1, 0, 3, 350, 0, 600
41, 2, 2, 1, 0, 2, 350, 0, 400
42, 2, 1, 1, 0, 2, 350, 0, 400
43, 3, 1, 1, 0, 2, 350, 0, 400
