days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 3, 2, 0, 2, 1, 0, 700, 50, 0
2, 3, 2, 1, 4, 3, 0, 2, 1050, 0, 400
3, 1, 1, 4, 3, 3, 0, 0, 1050, 0, 0
4, 4, 2, 3, 2, 3, 0, 3, 1050, 0, 600
5, 2, 1, 2, 1, 3, 0, 2, 1050, 0, 400
6, 3, 3, 1, 4, 3, 0, 1, 1050, 0, 200
7, 1, 2, 3, 3, 3, 0, 0, 1050, 0, 0
8, 3, 1, 2, 2, 3, 0, 3, 1050, 0, 600
9, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
10, 3, 1, 2, 3, 3, 0, 1, 1050, 0, 200
11, 2, 2, 1, 2, 3, 0, 1, 1050, 0, 200
12, 2, 1, 3, 1, 3, 0, 1, 1050, 0, 200
13, 4, 1, 2, 2, 3, 0, 2, 1050, 0, 400
14, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
15, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
16, 3, 4, 3, 3, 3, 0, 0, 1050, 0, 0
17, 3, 3, 2, 2, 3, 0, 3, 1050, 0, 600
18, 3, 2, 1, 1, 3, 0, 3, 1050, 0, 600
19, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
20, 3, 1, 3, 2, 3, 0, 0, 1050, 0, 0
21, 0, 0, 2, 1, 2, 1, 0, 700, 50, 0
22, 3, 4, 1, 2, 3, 0, 1, 1050, 0, 200
23, 0, 3, 0, 1, 2, 1, 0, 700, 50, 0
24, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
25, 3, 1, 2, 1, 3, 0, 1, 1050, 0, 200
26, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
27, 2, 2, 2, 0, 2, 1, 0, 700, 50, 0
28, 2, 1, 1, 4, 3, 0, 1, 1050, 0, 200
29, 3, 1, 1, 3, 3, 0, 1, 1050, 0, 200
30, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
31, 0, 1, 0, 1, 2, 1, 0, 700, 50, 0
32, 4, 1, 1, 2, 3, 0, 1, 1050, 0, 200
33, 4, 1, 1, 1, 3, 0, 2, 1050, 0, 400
34, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
35, 4, 2, 3, 2, 3, 0, 1, 1050, 0, 200
36, 3, 1, 2, 1, 3, 0, 3, 1050, 0, 600
37, 4, 2, 1, 3, 3, 0, 2, 1050, 0, 400
38, 0, 1, 0, 2, 2, 1, 0, 700, 50, 0
39, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
40, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
41, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
42, 4, 4, 1, 1, 3, 0, 1, 1050, 0, 200
43, 0, 3, 0, 0, 1, 2, 0, 350, 100, 0
44, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
45, 1, 1, 1, 0, 2, 1, 0, 700, 50, 0
46, 4, 3, 3, 1, 3, 0, 1, 1050, 0, 200
47, 4, 2, 2, 1, 3, 0, 3, 1050, 0, 600
48, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
49, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
50, 1, 1, 2, 0, 2, 1, 0, 700, 50, 0
51, 4, 3, 1, 3, 3, 0, 2, 1050, 0, 400
52, 3, 2, 1, 2, 3, 0, 2, 1050, 0, 400
53, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
54, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
55, 3, 2, 2, 4, 3, 0, 0, 1050, 0, 0
56, 3, 1, 1, 3, 3, 0, 3, 1050, 0, 600
57, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
58, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
59, 1, 1, 1, 1, 3, 0, 0, 1050, 0, 0
60, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
61, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
62, 3, 1, 2, 2, 3, 0, 1, 1050, 0, 200
63, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
64, 3, 2, 2, 4, 3, 0, 0, 1050, 0, 0
65, 2, 1, 1, 3, 3, 0, 2, 1050, 0, 400
66, 0, 0, 0, 2, 1, 2, 0, 350, 100, 0
67, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
68, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
69, 3, 3, 3, 1, 3, 0, 0, 1050, 0, 0
70, 3, 2, 2, 2, 3, 0, 2, 1050, 0, 400
71, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
72, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
73, 4, 1, 2, 3, 3, 0, 1, 1050, 0, 200
74, 3, 2, 1, 2, 3, 0, 2, 1050, 0, 400
75, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
76, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
77, 3, 1, 2, 2, 3, 0, 0, 1050, 0, 0
78, 2, 3, 1, 1, 3, 0, 1, 1050, 0, 200
79, 3, 2, 3, 4, 3, 0, 1, 1050, 0, 200
80, 2, 1, 2, 3, 3, 0, 2, 1050, 0, 400
81, 4, 4, 1, 2, 3, 0, 3, 1050, 0, 600
82, 3, 3, 4, 1, 3, 0, 2, 1050, 0, 400
83, 4, 2, 3, 2, 3, 0, 3, 1050, 0, 600
84, 3, 1, 2, 1, 3, 0, 3, 1050, 0, 600
85, 2, 2, 1, 3, 3, 0, 0, 1050, 0, 0
86, 3, 1, 3, 2, 3, 0, 2, 1050, 0, 400
87, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
88, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
89, 2, 1, 4, 1, 3, 0, 0, 1050, 0, 0
90, 0, 0, 3, 0, 1, 2, 0, 350, 100, 0
91, 4, 2, 2, 1, 3, 0, 2, 1050, 0, 400
92, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
93, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
94, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
95, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
96, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
97, 0, 0, 0, 0, 0, 3, 0, 0, 150, 0
98, 2, 1, 1, 0, 2, 1, 0, 700, 50, 0
99, 4, 2, 2, 4, 3, 0, 1, 1050, 0, 200
100, 3, 1, 1, 3, 3, 0, 3, 1050, 0, 600
101, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
102, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
103, 3, 1, 1, 2, 3, 0, 1, 1050, 0, 200
104, 3, 3, 1, 1, 3, 0, 1, 1050, 0, 200
105, 0, 2, 0, 0, 1, 2, 0, 350, 100, 0
106, 2, 1, 3, 2, 3, 0, 0, 1050, 0, 0
107, 2, 2, 2, 1, 3, 0, 1, 1050, 0, 200
108, 2, 1, 1, 4, 3, 0, 1, 1050, 0, 200
109, 0, 0, 0, 3, 1, 2, 0, 350, 100, 0
110, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
111, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
112, 3, 2, 2, 2, 3, 0, 0, 1050, 0, 0
113, 4, 1, 1, 1, 3, 0, 4, 1050, 0, 800
114, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
115, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
116, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
117, 0, 1, 0, 0, 1, 2, 0, 350, 100, 0
118, 2, 3, 1, 0, 2, 1, 0, 700, 50, 0
119, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
120, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
121, 3, 1, 2, 1, 3, 0, 0, 1050, 0, 0
122, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
123, 2, 1, 3, 1, 3, 0, 0, 1050, 0, 0
124, 3, 2, 2, 3, 3, 0, 1, 1050, 0, 200
125, 2, 1, 1, 2, 3, 0, 2, 1050, 0, 400
126, 0, 0, 0, 1, 1, 2, 0, 350, 100, 0
127, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
128, 3, 1, 4, 2, 3, 0, 0, 1050, 0, 0
129, 4, 3, 3, 1, 3, 0, 3, 1050, 0, 600
130, 2, 2, 2, 1, 3, 0, 1, 1050, 0, 200
131, 3, 1, 1, 4, 3, 0, 2, 1050, 0, 400
132, 0, 0, 0, 3, 1, 2, 0, 350, 100, 0
133, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
134, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
135, 3, 1, 1, 4, 3, 0, 0, 1050, 0, 0
136, 2, 4, 2, 3, 3, 0, 0, 1050, 0, 0
137, 3, 3, 1, 2, 3, 0, 3, 1050, 0, 600
138, 3, 2, 1, 1, 3, 0, 2, 1050, 0, 400
139, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
140, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
141, 3, 2, 2, 2, 3, 0, 1, 1050, 0, 200
142, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
143, 4, 4, 1, 2, 3, 0, 1, 1050, 0, 200
144, 0, 3, 0, 1, 2, 1, 0, 700, 50, 0
145, 1, 2, 1, 0, 2, 1, 0, 700, 50, 0
146, 2, 1, 4, 2, 3, 0, 0, 1050, 0, 0
147, 3, 3, 3, 1, 3, 0, 2, 1050, 0, 400
148, 1, 2, 2, 1, 3, 0, 0, 1050, 0, 0
149, 2, 1, 1, 2, 3, 0, 1, 1050, 0, 200
150, 3, 2, 3, 1, 3, 0, 1, 1050, 0, 200
151, 2, 1, 2, 3, 3, 0, 1, 1050, 0, 200
152, 3, 2, 1, 2, 3, 0, 2, 1050, 0, 400
153, 3, 1, 3, 1, 3, 0, 2, 1050, 0, 400
154, 3, 1, 2, 3, 3, 0, 1, 1050, 0, 200
155, 3, 4, 1, 2, 3, 0, 2, 1050, 0, 400
156, 0, 3, 0, 1, 2, 1, 0, 700, 50, 0
157, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
158, 2, 1, 4, 1, 3, 0, 0, 1050, 0, 0
159, 1, 2, 3, 0, 2, 1, 0, 700, 50, 0
160, 3, 1, 2, 4, 3, 0, 2, 1050, 0, 400
161, 4, 2, 1, 3, 3, 0, 3, 1050, 0, 600
162, 3, 1, 1, 2, 3, 0, 2, 1050, 0, 400
163, 4, 2, 3, 1, 3, 0, 2, 1050, 0, 400
164, 4, 1, 2, 2, 3, 0, 3, 1050, 0, 600
165, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
166, 4, 1, 2, 3, 3, 0, 2, 1050, 0, 400
167, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
168, 1, 1, 1, 1, 3, 0, 0, 1050, 0, 0
169, 4, 4, 1, 2, 3, 0, 1, 1050, 0, 200
170, 0, 3, 0, 1, 2, 1, 0, 700, 50, 0
171, 2, 2, 4, 4, 3, 0, 0, 1050, 0, 0
172, 3, 1, 3, 3, 3, 0, 3, 1050, 0, 600
173, 4, 2, 2, 2, 3, 0, 3, 1050, 0, 600
174, 0, 1, 1, 1, 3, 0, 0, 1050, 0, 0
175, 1, 1, 0, 0, 1, 2, 0, 350, 100, 0
176, 1, 4, 0, 0, 1, 2, 0, 350, 100, 0
177, 2, 3, 1, 1, 3, 0, 0, 1050, 0, 0
178, 2, 2, 2, 1, 3, 0, 0, 1050, 0, 0
179, 1, 1, 1, 1, 3, 0, 0, 1050, 0, 0
180, 2, 1, 3, 0, 2, 1, 0, 700, 50, 0
181, 2, 1, 2, 4, 3, 0, 0, 1050, 0, 0
182, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
183, 4, 2, 1, 2, 3, 0, 2, 1050, 0, 400
184, 2, 1, 4, 1, 3, 0, 1, 1050, 0, 200
185, 4, 2, 3, 1, 3, 0, 2, 1050, 0, 400
186, 3, 1, 2, 2, 3, 0, 2, 1050, 0, 400
187, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
188, 2, 1, 2, 0, 2, 1, 0, 700, 50, 0
189, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
