days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
119, 3, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
120, 3, 1, 1, 2, 3, 4, 0, 0, 1400, 0, 0
121, 3, 3, 1, 1, 2, 4, 0, 1, 1400, 0, 200
122, 2, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
123, 4, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
124, 3, 4, 1, 1, 1, 4, 0, 1, 1400, 0, 200
125, 3, 3, 2, 1, 1, 4, 0, 0, 1400, 0, 0
126, 2, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
127, 1, 1, 4, 1, 0, 3, 1, 0, 1050, 50, 0
128, 3, 4, 3, 1, 1, 4, 0, 0, 1400, 0, 0
129, 3, 3, 2, 2, 3, 4, 0, 1, 1400, 0, 200
130, 4, 2, 1, 1, 2, 4, 0, 4, 1400, 0, 800
131, 2, 1, 2, 3, 1, 4, 0, 0, 1400, 0, 0
132, 2, 1, 1, 2, 2, 4, 0, 0, 1400, 0, 0
133, 3, 3, 4, 1, 1, 4, 0, 1, 1400, 0, 200
134, 1, 2, 3, 1, 0, 3, 1, 0, 1050, 50, 0
135, 0, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
136, 3, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
137, 4, 2, 2, 4, 1, 4, 0, 1, 1400, 0, 200
138, 4, 1, 1, 3, 1, 4, 0, 3, 1400, 0, 600
139, 2, 1, 3, 2, 0, 3, 1, 0, 1050, 50, 0
140, 4, 2, 2, 1, 1, 4, 0, 2, 1400, 0, 400
141, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
142, 2, 3, 1, 0, 1, 3, 1, 0, 1050, 50, 0
143, 2, 2, 1, 2, 0, 3, 1, 0, 1050, 50, 0
144, 0, 1, 0, 1, 0, 2, 2, 0, 700, 100, 0
145, 2, 3, 2, 0, 0, 2, 2, 0, 700, 100, 0
146, 2, 2, 1, 3, 1, 4, 0, 0, 1400, 0, 0
147, 3, 1, 2, 2, 3, 4, 0, 1, 1400, 0, 200
148, 1, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
149, 4, 1, 1, 4, 1, 4, 0, 1, 1400, 0, 200
150, 3, 3, 1, 3, 1, 4, 0, 0, 1400, 0, 0
151, 3, 2, 4, 2, 2, 4, 0, 1, 1400, 0, 200
152, 3, 1, 3, 1, 1, 4, 0, 3, 1400, 0, 600
153, 3, 1, 2, 2, 1, 4, 0, 0, 1400, 0, 0
154, 4, 2, 1, 1, 2, 4, 0, 2, 1400, 0, 400
155, 2, 1, 3, 1, 1, 4, 0, 0, 1400, 0, 0
156, 4, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
157, 3, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
158, 4, 1, 2, 1, 4, 4, 0, 1, 1400, 0, 200
159, 3, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
160, 3, 1, 3, 1, 2, 4, 0, 2, 1400, 0, 400
161, 1, 1, 2, 0, 1, 3, 1, 0, 1050, 50, 0
162, 0, 0, 1, 0, 0, 1, 3, 0, 350, 150, 0
163, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
164, 3, 1, 3, 2, 3, 4, 0, 0, 1400, 0, 0
165, 3, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
166, 2, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
167, 3, 1, 2, 4, 3, 4, 0, 0, 1400, 0, 0
168, 3, 2, 1, 3, 2, 4, 0, 2, 1400, 0, 400
169, 1, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
170, 4, 2, 4, 1, 1, 4, 0, 1, 1400, 0, 200
171, 1, 1, 3, 2, 0, 3, 1, 0, 1050, 50, 0
172, 3, 2, 2, 1, 1, 4, 0, 1, 1400, 0, 200
173, 3, 1, 1, 4, 1, 4, 0, 1, 1400, 0, 200
174, 3, 1, 2, 3, 2, 4, 0, 0, 1400, 0, 0
175, 0, 0, 1, 2, 1, 3, 1, 0, 1050, 50, 0
176, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
177, 4, 2, 2, 2, 1, 4, 0, 0, 1400, 0, 0
178, 2, 1, 1, 1, 2, 4, 0, 1, 1400, 0, 200
179, 2, 1, 1, 0, 1, 3, 1, 0, 1050, 50, 0
180, 4, 4, 3, 4, 1, 4, 0, 0, 1400, 0, 0
181, 2, 3, 2, 3, 2, 4, 0, 1, 1400, 0, 200
182, 3, 2, 1, 2, 1, 4, 0, 3, 1400, 0, 600
183, 1, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
184, 2, 4, 3, 0, 0, 2, 2, 0, 700, 100, 0
185, 4, 3, 2, 3, 2, 4, 0, 2, 1400, 0, 400
186, 0, 2, 1, 2, 1, 4, 0, 0, 1400, 0, 0
187, 4, 1, 2, 1, 4, 4, 0, 2, 1400, 0, 400
188, 3, 2, 1, 1, 3, 4, 0, 1, 1400, 0, 200
189, 2, 1, 2, 4, 2, 4, 0, 0, 1400, 0, 0
190, 2, 4, 1, 3, 1, 4, 0, 1, 1400, 0, 200
191, 4, 3, 2, 2, 3, 4, 0, 2, 1400, 0, 400
192, 2, 2, 1, 1, 2, 4, 0, 2, 1400, 0, 400
193, 2, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
194, 3, 2, 2, 2, 4, 4, 0, 0, 1400, 0, 0
195, 2, 1, 1, 1, 3, 4, 0, 2, 1400, 0, 400
196, 2, 2, 2, 0, 2, 3, 1, 0, 1050, 50, 0
197, 0, 1, 1, 0, 1, 3, 1, 0, 1050, 50, 0
198, 4, 2, 2, 1, 2, 4, 0, 0, 1400, 0, 0
199, 1, 1, 1, 1, 1, 4, 0, 0, 1400, 0, 0
200, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
201, 3, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
202, 4, 2, 1, 4, 3, 4, 0, 1, 1400, 0, 200
203, 0, 1, 0, 3, 2, 3, 1, 0, 1050, 50, 0
204, 1, 2, 0, 2, 1, 3, 1, 0, 1050, 50, 0
205, 0, 1, 0, 1, 0, 2, 2, 0, 700, 100, 0
206, 4, 1, 4, 3, 2, 4, 0, 0, 1400, 0, 0
207, 1, 1, 3, 2, 1, 4, 0, 0, 1400, 0, 0
208, 3, 1, 2, 1, 3, 4, 0, 1, 1400, 0, 200
209, 2, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
210, 3, 1, 1, 4, 1, 4, 0, 0, 1400, 0, 0
211, 2, 1, 2, 3, 0, 3, 1, 0, 1050, 50, 0
212, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
213, 2, 3, 2, 1, 0, 3, 1, 0, 1050, 50, 0
214, 1, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
215, 4, 1, 2, 1, 3, 4, 0, 1, 1400, 0, 200
216, 2, 2, 1, 2, 2, 4, 0, 0, 1400, 0, 0
217, 1, 1, 4, 1, 1, 4, 0, 0, 1400, 0, 0
218, 2, 2, 3, 1, 0, 3, 1, 0, 1050, 50, 0
219, 2, 1, 2, 2, 2, 4, 0, 0, 1400, 0, 0
220, 3, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
221, 3, 4, 3, 2, 0, 3, 1, 0, 1050, 50, 0
222, 4, 3, 2, 1, 3, 4, 0, 3, 1400, 0, 600
223, 3, 2, 1, 3, 2, 4, 0, 2, 1400, 0, 400
224, 3, 1, 4, 2, 1, 4, 0, 2, 1400, 0, 400
225, 3, 1, 3, 1, 2, 4, 0, 1, 1400, 0, 200
226, 2, 3, 2, 3, 1, 4, 0, 0, 1400, 0, 0
227, 4, 2, 1, 2, 2, 4, 0, 3, 1400, 0, 600
228, 1, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
229, 4, 2, 1, 2, 1, 4, 0, 1, 1400, 0, 200
230, 4, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
231, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
232, 3, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
233, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
234, 4, 4, 1, 1, 1, 4, 0, 0, 1400, 0, 0
235, 2, 3, 1, 2, 0, 3, 1, 0, 1050, 50, 0
236, 1, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
237, 1, 1, 2, 0, 0, 2, 2, 0, 700, 100, 0
238, 3, 1, 1, 2, 3, 4, 0, 0, 1400, 0, 0
239, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
240, 2, 2, 2, 0, 1, 3, 1, 0, 1050, 50, 0
241, 0, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
242, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
243, 4, 1, 2, 1, 2, 4, 0, 0, 1400, 0, 0
244, 3, 1, 1, 4, 1, 4, 0, 1, 1400, 0, 200
245, 2, 3, 2, 3, 0, 3, 1, 0, 1050, 50, 0
246, 0, 2, 1, 2, 0, 3, 1, 0, 1050, 50, 0
247, 3, 1, 3, 1, 4, 4, 0, 1, 1400, 0, 200
248, 3, 2, 2, 3, 3, 4, 0, 1, 1400, 0, 200
249, 3, 1, 1, 2, 2, 4, 0, 3, 1400, 0, 600
250, 4, 2, 2, 1, 1, 4, 0, 2, 1400, 0, 400
251, 3, 1, 1, 2, 2, 4, 0, 1, 1400, 0, 200
252, 4, 3, 2, 1, 1, 4, 0, 2, 1400, 0, 400
253, 2, 2, 1, 2, 2, 4, 0, 0, 1400, 0, 0
254, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
255, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
256, 2, 4, 1, 0, 0, 2, 2, 0, 700, 100, 0
257, 4, 3, 1, 1, 3, 4, 0, 1, 1400, 0, 200
258, 3, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
259, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
260, 3, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
261, 3, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
262, 1, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
263, 4, 1, 1, 3, 3, 4, 0, 1, 1400, 0, 200
264, 4, 1, 1, 2, 2, 4, 0, 2, 1400, 0, 400
265, 0, 0, 0, 1, 1, 2, 2, 0, 700, 100, 0
266, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
267, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
268, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
269, 4, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
270, 4, 1, 1, 1, 3, 4, 0, 1, 1400, 0, 200
271, 0, 0, 0, 0, 2, 1, 3, 0, 350, 150, 0
272, 0, 0, 0, 0, 1, 1, 3, 0, 350, 150, 0
273, 4, 1, 2, 2, 1, 4, 0, 0, 1400, 0, 0
274, 0, 0, 1, 1, 0, 2, 2, 0, 700, 100, 0
275, 4, 1, 1, 4, 1, 4, 0, 0, 1400, 0, 0
276, 3, 1, 2, 3, 2, 4, 0, 0, 1400, 0, 0
277, 4, 3, 1, 2, 1, 4, 0, 3, 1400, 0, 600
278, 3, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
279, 2, 1, 2, 4, 0, 3, 1, 0, 1050, 50, 0
280, 3, 4, 1, 3, 2, 4, 0, 1, 1400, 0, 200
281, 2, 3, 1, 2, 1, 4, 0, 1, 1400, 0, 200
282, 1, 2, 3, 1, 0, 3, 1, 0, 1050, 50, 0
283, 3, 1, 2, 1, 2, 4, 0, 1, 1400, 0, 200
284, 4, 3, 1, 3, 1, 4, 0, 2, 1400, 0, 400
285, 4, 2, 4, 2, 2, 4, 0, 2, 1400, 0, 400
286, 2, 1, 3, 1, 1, 4, 0, 2, 1400, 0, 400
287, 3, 1, 2, 2, 1, 4, 0, 0, 1400, 0, 0
288, 2, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
289, 3, 4, 2, 1, 1, 4, 0, 0, 1400, 0, 0
290, 3, 3, 1, 2, 4, 4, 0, 1, 1400, 0, 200
291, 4, 2, 1, 1, 3, 4, 0, 3, 1400, 0, 600
292, 0, 1, 0, 0, 2, 2, 2, 0, 700, 100, 0
293, 4, 2, 3, 3, 1, 4, 0, 1, 1400, 0, 200
294, 2, 1, 2, 2, 2, 4, 0, 1, 1400, 0, 200
295, 0, 0, 1, 1, 1, 3, 1, 0, 1050, 50, 0
296, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
297, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
298, 4, 3, 1, 1, 2, 4, 0, 0, 1400, 0, 0
299, 4, 2, 3, 2, 1, 4, 0, 2, 1400, 0, 400
300, 2, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
301, 2, 4, 1, 1, 0, 3, 1, 0, 1050, 50, 0
302, 3, 3, 3, 2, 1, 4, 0, 0, 1400, 0, 0
303, 3, 2, 2, 1, 2, 4, 0, 2, 1400, 0, 400
304, 1, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
305, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
306, 3, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
307, 1, 1, 4, 0, 0, 2, 2, 0, 700, 100, 0
308, 3, 1, 3, 1, 1, 4, 0, 0, 1400, 0, 0
309, 3, 1, 2, 2, 2, 4, 0, 0, 1400, 0, 0
310, 2, 2, 1, 1, 1, 4, 0, 1, 1400, 0, 200
311, 2, 1, 2, 2, 0, 3, 1, 0, 1050, 50, 0
312, 3, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
313, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
314, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
315, 2, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
316, 3, 1, 1, 3, 1, 4, 0, 1, 1400, 0, 200
317, 4, 2, 1, 2, 2, 4, 0, 1, 1400, 0, 200
318, 3, 1, 2, 1, 1, 4, 0, 2, 1400, 0, 400
319, 2, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
320, 3, 2, 1, 2, 0, 3, 1, 0, 1050, 50, 0
321, 4, 1, 2, 1, 1, 4, 0, 2, 1400, 0, 400
322, 3, 4, 1, 2, 3, 4, 0, 0, 1400, 0, 0
323, 0, 3, 0, 1, 2, 3, 1, 0, 1050, 50, 0
324, 2, 2, 3, 2, 1, 4, 0, 0, 1400, 0, 0
325, 2, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
326, 0, 0, 1, 0, 0, 1, 3, 0, 350, 150, 0
327, 2, 3, 1, 0, 0, 2, 2, 0, 700, 100, 0
328, 3, 2, 1, 1, 1, 4, 0, 0, 1400, 0, 0
329, 3, 1, 1, 4, 2, 4, 0, 0, 1400, 0, 0
330, 2, 1, 1, 3, 1, 4, 0, 0, 1400, 0, 0
331, 4, 2, 1, 2, 2, 4, 0, 1, 1400, 0, 200
332, 4, 1, 1, 1, 1, 4, 0, 3, 1400, 0, 600
333, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
334, 0, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
335, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
336, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
337, 2, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
338, 2, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
339, 2, 4, 1, 1, 0, 3, 1, 0, 1050, 50, 0
340, 3, 3, 2, 2, 1, 4, 0, 0, 1400, 0, 0
341, 4, 2, 1, 1, 2, 4, 0, 3, 1400, 0, 600
342, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
343, 4, 2, 4, 1, 1, 4, 0, 1, 1400, 0, 200
344, 1, 1, 3, 1, 0, 3, 1, 0, 1050, 50, 0
345, 4, 1, 2, 4, 1, 4, 0, 1, 1400, 0, 200
346, 2, 3, 1, 3, 1, 4, 0, 0, 1400, 0, 0
347, 4, 2, 1, 2, 2, 4, 0, 2, 1400, 0, 400
348, 3, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
349, 4, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
350, 1, 2, 1, 0, 0, 2, 2, 0, 700, 100, 0
351, 0, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
352, 4, 1, 3, 4, 2, 4, 0, 0, 1400, 0, 0
353, 4, 2, 2, 3, 1, 4, 0, 3, 1400, 0, 600
354, 0, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
355, 3, 3, 2, 1, 4, 4, 0, 0, 1400, 0, 0
356, 3, 2, 1, 1, 3, 4, 0, 2, 1400, 0, 400
357, 1, 1, 2, 0, 2, 3, 1, 0, 1050, 50, 0
358, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
359, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
360, 3, 3, 1, 1, 2, 4, 0, 0, 1400, 0, 0
361, 4, 2, 1, 2, 1, 4, 0, 2, 1400, 0, 400
362, 3, 1, 3, 1, 2, 4, 0, 1, 1400, 0, 200
363, 3, 1, 2, 2, 1, 4, 0, 1, 1400, 0, 200
364, 4, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
365, 3, 3, 1, 1, 1, 4, 0, 0, 1400, 0, 0
